Count;IncentiveCondition;Age.Group;Gender;Age;Income;Wealth;DigitSymbol;GainOrientation;LossOrientation;MaintenanceOrientation;ch_G01;ch_G02;ch_G03;ch_G04;ch_G05;ch_G06;ch_G07;ch_G08;ch_G09;ch_G10;ch_G11;ch_G12;ch_G13;ch_G14;ch_G15;ch_G16;ch_G17;ch_G18;ch_G19;ch_G20;ch_G21;ch_G22;ch_G23;ch_G24;ch_G25;ch_G26;ch_L01;ch_L02;ch_L03;ch_L04;ch_L05;ch_L06;ch_L07;ch_L08;ch_L09;ch_L10;ch_L11;ch_L12;ch_L13;ch_L14;ch_L15;ch_L16;ch_L17;ch_L18;ch_L19;ch_L20;ch_L21;ch_L22;ch_L23;ch_L24;ch_L25;ch_L26;ch_M01;ch_M02;ch_M03;ch_M04;ch_M05;ch_M06;ch_M07;ch_M08;ch_M09;ch_M10;ch_M11;ch_M12;ch_M13;ch_M14;ch_M15;ch_M16;ch_M17;ch_M18;ch_M19;ch_M20;ch_M21;ch_M22;ch_M23;ch_M24;ch_M25;ch_M26;rt_G01;rt_G02;rt_G03;rt_G04;rt_G05;rt_G06;rt_G07;rt_G08;rt_G09;rt_G10;rt_G11;rt_G12;rt_G13;rt_G14;rt_G15;rt_G16;rt_G17;rt_G18;rt_G19;rt_G20;rt_G21;rt_G22;rt_G23;rt_G24;rt_G25;rt_G26;rt_L01;rt_L02;rt_L03;rt_L04;rt_L05;rt_L06;rt_L07;rt_L08;rt_L09;rt_L10;rt_L11;rt_L12;rt_L13;rt_L14;rt_L15;rt_L16;rt_L17;rt_L18;rt_L19;rt_L20;rt_L21;rt_L22;rt_L23;rt_L24;rt_L25;rt_L26;rt_M01;rt_M02;rt_M03;rt_M04;rt_M05;rt_M06;rt_M07;rt_M08;rt_M09;rt_M10;rt_M11;rt_M12;rt_M13;rt_M14;rt_M15;rt_M16;rt_M17;rt_M18;rt_M19;rt_M20;rt_M21;rt_M22;rt_M23;rt_M24;rt_M25;rt_M26;Emotion.Pre;Excitement.Pre;Emotion.Post;Excitement.Post;DQgain;DQloss;DQmixed;RKgain;RKloss;RKmixed;medianTimeGain;medianTimeLoss;medianTimeMixed;M.alpha;M.gamma_gain;M.gamma_loss;M.lambda;M.luce
11;PayOne;Older;female;62;$20,001 - $40,000;$5,001 - $10,000;24;7,5;6,5;2;B;A;B;A;B;B;B;A;A;B;A;B;A;B;B;B;A;A;B;A;B;B;A;B;A;A;A;A;B;A;A;B;A;B;A;B;A;A;A;B;B;A;A;A;B;B;A;A;A;A;B;A;A;B;B;A;B;B;A;A;B;A;B;A;B;A;A;A;B;A;B;B;B;B;B;B;A;A;5;12;7;23;6;13;6;5;6;11;14;5;8;12;27;5;9;6;8;9;84;6;9;6;6;7;7;10;5;8;4;6;8;19;10;5;7;5;13;9;10;7;10;8;7;7;7;9;8;14;6;7;9;8;8;7;7;10;5;9;8;5;8;8;5;6;9;18;6;6;8;9;32;6;40;4;4;10;5;1;5;1;,72;,76;,6;,44;,28;,52;7,5;7,5;8;,838386378362407;,701783037326941;,818552704677289;1,27730785758368;,153775981259783
12;PayAll;Older;female;69;$20,001 - $40,000;$0 - $5,000;33;8;1;1;A;A;B;B;B;A;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;B;B;B;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;A;A;B;B;A;B;B;B;A;B;B;A;A;A;A;B;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;5;11;6;6;5;7;7;5;7;13;7;6;7;6;12;8;17;6;6;6;6;6;4;8;10;4;6;8;10;7;9;7;8;5;5;8;5;15;10;6;7;6;8;5;4;7;12;11;11;10;6;5;11;5;4;11;6;4;7;9;7;7;12;12;5;12;13;4;14;10;7;4;5;5;5;9;5;7;5;1;5;1;,92;,76;,48;,48;,44;,56;6;7;7;,956465643273931;,678414700239349;,597425784490721;1,23061736377625;,113910359984247
13;PayAll;Younger;male;32;$0 - $20,000;$0 - $5,000;21;8;1;4,5;B;A;B;B;B;B;B;A;A;A;A;B;B;B;B;A;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;B;A;B;A;A;B;A;A;A;A;A;B;B;A;A;B;A;B;A;A;B;B;A;A;B;B;A;B;B;A;B;B;A;B;B;A;A;A;A;A;B;A;B;A;A;3;5;3;4;7;4;7;7;7;15;5;5;4;5;5;5;5;4;4;4;3;4;4;9;3;5;6;9;6;6;2;99;5;7;9;39;3;11;4;2;41;2;6;1;77;4;11;10;3;6;6;4;4;3;4;4;4;4;5;11;7;8;6;4;15;6;5;7;18;3;15;6;40;4;6;4;5;3;9;9;9;9;,84;,92;,76;,56;,52;,6;5;6;5;,965122077015113;,863000476511766;,884275841069225;,776285121148541;,174741437734724
14;PayOne;Older;female;78;$20,001 - $40,000;$25,001 - $50,000;20;6,5;8;8;B;A;A;B;A;B;B;B;B;A;A;B;A;A;A;A;A;B;B;B;B;B;A;B;A;A;A;A;A;B;B;B;A;B;B;B;A;A;A;B;A;A;B;A;B;B;B;B;A;A;B;B;B;B;B;B;A;A;A;B;A;B;A;A;B;A;B;A;B;A;B;A;B;A;B;A;B;A;14;14;21;17;21;15;12;16;12;14;8;15;12;10;11;8;10;8;15;10;8;18;20;4;9;8;13;16;20;23;14;17;16;14;9;17;11;10;22;10;12;17;13;16;18;14;11;18;10;17;13;19;10;9;10;9;10;8;8;11;6;12;8;6;10;16;8;8;10;8;8;10;7;8;9;10;8;6;8;5;7;7;,44;,76;,56;,64;,52;,4;12;15;8,5;,837511047154617;,684210203817811;,821149354319868;1,19228275523858;,0821474216722552
15;PayAll;Older;female;74;$20,001 - $40,000;$50,001 - $100,000;31;7;4;2,5;A;A;B;B;B;B;A;A;A;B;B;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;B;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B;A;B;A;B;B;B;B;A;B;A;A;A;B;A;A;A;A;B;B;A;A;A;A;B;A;B;B;A;A;25;12;8;25;11;8;13;9;15;18;13;21;21;21;17;10;22;13;10;8;13;9;26;10;19;15;21;35;17;8;12;19;19;9;21;14;37;18;11;24;55;36;55;12;19;29;75;13;16;11;20;21;33;17;26;39;9;14;19;14;23;19;15;19;15;15;17;16;20;17;16;30;11;12;9;12;12;28;8;5;9;7;,88;,84;,64;,36;,52;,56;13;19;16,5;,945707389655421;,809187511947062;,866763150931059;,880593715275513;,154209402791814
16;PayAll;Older;female;70;$60,001 - $100,000;$250,001 - $500,000;35;8;8;7,5;B;B;A;B;B;A;A;B;A;B;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;B;B;B;B;B;A;A;B;A;B;B;A;A;A;B;B;A;A;A;B;B;B;B;A;B;A;A;B;B;A;B;A;A;B;B;B;A;A;A;A;A;B;B;A;B;A;B;B;A;B;A;A;12;10;2;5;9;10;14;3;6;13;3;13;6;5;9;4;20;9;3;3;5;5;4;2;12;11;11;6;16;13;4;7;5;4;10;8;31;4;7;7;8;8;3;43;5;4;5;6;5;10;7;74;47;10;9;24;7;13;13;6;5;3;4;5;7;9;9;35;8;8;9;10;24;3;10;47;8;4;7;5;9;9;,44;,6;,52;,4;,52;,44;6;7;9;,731890947317108;,533845398250283;,822765291278873;1,30318613555269;,0950542509524979
17;PayOne;Older;male;61;More than $100,000;$0 - $5,000;21;8;8;8;A;B;B;B;A;B;B;B;A;B;B;B;A;B;A;A;A;B;A;B;B;B;B;B;B;A;B;B;A;A;B;B;A;B;A;B;B;A;A;B;B;A;B;B;B;B;A;B;A;A;A;A;A;B;B;B;A;B;A;B;B;A;B;A;B;A;A;A;B;B;B;A;A;B;B;B;A;A;2;2;11;2;2;2;1;1;3;2;2;1;2;5;14;346;4;3;2;1;2;2;3;2;2;5;2;3;1;2;1;1;4;1;5;1;1;0;2;2;1;2;1;1;5;5;1;1;6;1;1;5;12;6;8;5;6;17;5;17;20;6;14;18;69;28;62;6;14;10;44;7;23;6;8;6;5;13;3;3;7;3;,52;,64;,76;,56;,4;,52;2;1;11;,837826945636979;,742417320451488;,822264849758156;1,5878472561997;,0980803942952715
18;PayOne;Older;female;69;$0 - $20,000;$50,001 - $100,000;52;4,5;6,5;4,5;B;A;B;B;B;B;B;B;B;B;A;B;A;B;B;A;A;A;B;A;B;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;A;A;A;B;A;A;B;A;B;B;A;B;A;A;B;A;A;B;B;B;B;B;B;A;A;A;B;A;A;B;B;B;A;A;B;A;B;A;B;B;A;A;4;9;5;4;6;4;4;5;7;6;10;144;9;8;8;4;6;5;5;128;6;5;7;8;6;7;3;44;4;3;4;5;4;6;4;5;4;4;4;3;3;5;4;4;4;5;3;5;5;5;5;7;14;9;9;8;10;11;9;8;9;11;8;16;10;11;6;11;8;19;8;10;7;14;19;8;10;5;6;4;6;6;,72;,8;,6;,44;,4;,52;6;4;9,5;,837878304848073;,650802642515609;,822550195527895;1,10102284800555;,149754503259842
19;PayAll;Older;female;76;$20,001 - $40,000;$5,001 - $10,000;34;6,5;7;7;B;A;B;A;B;B;B;A;B;B;A;B;A;B;A;A;A;A;B;A;B;B;A;B;A;A;A;A;B;B;B;B;A;B;A;B;A;B;A;A;B;B;B;A;A;B;B;A;A;B;A;B;B;B;A;B;B;A;B;B;B;A;A;A;A;B;B;A;A;B;A;A;B;A;A;B;B;B;7;4;6;4;9;5;8;5;4;21;7;6;6;13;5;3;5;5;6;3;6;4;5;6;5;7;3;28;4;5;2;7;12;5;7;3;2;4;11;5;4;4;3;4;5;4;4;4;4;6;8;7;4;3;4;4;2;4;4;3;3;4;6;7;3;3;2;6;4;16;2;7;2;3;3;4;5;3;9;5;9;7;,68;,52;,56;,48;,68;,56;5,5;4;4;,891235470632401;,752411815195722;,269124081415515;1,18964101520433;,11673890112472
20;PayOne;Younger;male;26;$0 - $20,000;I do not want to answer;34;6,5;1;1,5;A;A;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;A;A;A;A;A;A;A;A;A;A;B;A;B;A;B;A;A;A;B;B;A;B;A;B;B;B;B;A;A;B;A;A;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;A;A;A;A;A;16;4;14;10;6;7;6;8;14;9;28;8;8;7;6;11;8;11;6;11;8;22;6;5;5;18;8;5;11;6;4;132;4;8;33;8;26;6;5;5;4;3;6;2;3;3;8;16;6;7;7;10;18;6;6;18;13;16;5;6;11;14;6;6;12;5;5;11;16;19;7;8;10;5;5;11;15;40;4;5;5;6;,84;,76;,56;,32;,44;,48;8;6;10,5;,834857054561786;,666120477106909;,837082196816895;1,13923451512531;,194997959125101
21;PayAll;Older;male;77;More than $100,000;$100,001 - $250,000;41;8;2,5;2,5;B;A;B;A;A;B;A;A;A;B;B;A;A;B;A;A;A;A;B;A;A;B;A;B;B;A;A;B;A;A;A;A;A;A;A;B;A;A;A;B;B;A;A;B;A;B;A;A;A;A;B;A;B;B;B;B;B;A;A;A;A;A;A;A;B;B;A;A;B;A;B;A;B;B;B;B;A;A;2;3;2;2;2;2;3;2;1;3;3;2;5;3;2;3;2;2;3;2;2;2;2;2;2;2;4;4;6;18;3;3;3;10;3;77;4;3;41;3;6;5;7;2;4;3;2;8;5;3;3;3;1;9;4;18;2;3;3;5;4;4;5;3;4;2;2;2;4;4;5;68;4;2;3;4;3;4;5;1;5;1;,64;,6;,56;,36;,28;,48;2;4;4;,850415419376064;,806283512552747;,825451649468918;1,21748181309505;,0866029389531383
22;PayAll;Younger;female;30;$20,001 - $40,000;$0 - $5,000;52;6,5;4;5,5;B;A;B;B;B;B;B;A;A;B;A;B;A;B;B;A;A;A;B;A;B;B;A;B;B;B;A;A;A;A;B;B;A;A;A;A;A;B;A;A;A;A;A;A;B;B;A;B;B;B;A;A;A;B;B;B;B;B;A;A;A;A;A;B;A;A;A;B;A;A;B;A;B;B;B;B;B;A;3;5;6;4;3;3;3;3;4;4;4;6;4;4;3;4;4;3;4;8;5;4;4;4;3;3;4;4;31;7;5;4;4;16;7;6;4;4;3;4;5;9;8;5;9;4;3;5;8;4;9;9;11;7;6;6;7;11;7;5;5;4;5;3;6;6;6;5;7;4;5;6;6;7;6;5;3;6;5;2;7;7;,84;,8;,56;,56;,72;,64;4;5;6;,928523109113946;,802857596926557;,717184331393645;,821285112648713;,121821953154003
23;PayAll;Younger;male;22;$40,001 - $60,000;$50,001 - $100,000;38;8;1;1;B;A;B;A;B;B;B;A;A;B;B;A;A;B;A;A;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;A;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;B;B;A;B;A;A;B;B;B;A;B;B;B;B;B;B;A;B;A;B;B;B;B;A;A;B;B;B;B;A;A;10;6;4;15;7;7;16;13;4;10;11;14;8;8;8;21;5;5;9;10;8;15;8;9;4;16;13;5;18;10;6;7;8;7;11;19;5;4;6;5;9;5;22;7;6;5;12;8;6;8;5;8;13;9;31;6;4;9;11;11;8;7;13;9;10;10;12;8;9;18;13;8;5;22;9;9;6;9;7;5;4;2;,76;,92;,76;,4;,44;,52;8,5;7;9;,938656873135435;,892422248082674;,930769716248382;1,43791577522308;,179935679445943
24;PayAll;Older;male;70;$20,001 - $40,000;$250,001 - $500,000;23;6;7;4,5;B;B;B;A;B;B;B;A;A;B;A;B;B;B;B;A;A;A;B;A;B;B;A;B;A;A;A;A;A;A;A;B;A;B;A;A;B;A;B;A;A;A;A;A;A;B;A;B;B;B;B;A;A;B;B;B;A;A;B;A;A;B;A;B;B;A;B;A;A;A;A;A;A;B;B;B;A;A;12;11;20;20;20;8;9;5;16;12;7;7;8;4;7;9;8;7;4;8;15;8;16;8;8;7;9;5;8;9;12;3;11;9;13;9;8;8;9;8;9;4;8;3;8;4;8;13;5;8;11;14;4;7;7;12;11;3;4;7;12;18;24;4;13;16;7;11;5;8;9;8;4;3;3;6;7;4;6;2;5;1;,76;,76;,8;,56;,6;,64;8;8;7;,955659110664342;,838314057176679;,942417345973392;,807666480538647;,165295131585145
25;PayAll;Older;male;76;$20,001 - $40,000;$0 - $5,000;26;3,5;6;7;A;A;B;A;A;B;A;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;B;A;B;A;A;A;B;A;A;A;A;B;B;A;B;B;A;B;A;B;B;B;A;A;B;B;A;A;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;14;28;41;24;42;55;27;12;302;20;44;37;31;14;16;62;18;16;21;13;44;16;13;66;56;15;80;65;61;24;25;39;19;18;72;26;20;53;33;37;20;35;36;61;36;20;38;55;53;23;30;50;64;36;23;18;29;19;16;43;13;46;16;42;34;65;16;14;22;25;43;34;17;17;19;38;21;16;7;2;7;2;,84;,92;,52;,4;,44;,52;25,5;36;22,5;,964613297151783;,717870683683276;,877004557501757;1,13497245343506;,144788637242655
26;PayAll;Younger;female;28;$20,001 - $40,000;$25,001 - $50,000;27;7;2,5;1;A;A;B;A;B;B;B;A;A;B;A;A;A;B;B;B;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;A;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;A;B;B;B;A;B;B;B;A;A;B;A;B;B;A;B;A;B;A;B;A;B;A;B;A;B;A;B;B;A;A;10;12;7;9;7;8;15;4;12;6;6;10;9;13;7;10;7;8;7;6;6;12;10;17;7;10;11;5;5;5;9;6;5;7;6;7;6;4;6;6;4;6;8;4;4;5;7;3;6;6;6;4;6;8;10;6;5;8;6;140;14;7;10;6;13;6;10;6;6;7;8;6;6;6;6;6;5;6;7;4;7;5;,84;,88;,68;,4;,48;,36;8,5;6;6;,971738315300752;,764725248665239;,769539847285796;1,53224580013608;,148575293458307
27;PayAll;Older;female;80;$20,001 - $40,000;$0 - $5,000;26;8;1;1;A;A;B;A;B;A;A;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;B;A;A;A;B;B;A;B;B;A;B;A;B;A;A;A;A;A;A;B;A;B;A;A;A;A;A;B;A;A;B;B;A;A;B;A;B;A;A;A;B;B;A;A;A;B;B;B;A;B;A;A;B;A;A;21;15;25;9;7;9;11;12;11;9;5;8;16;12;20;8;11;15;8;9;8;8;7;11;12;9;19;14;7;15;15;12;7;11;7;12;11;10;9;16;23;14;11;7;8;6;14;10;14;10;10;13;13;12;15;14;13;29;14;17;20;26;12;12;14;14;14;23;16;13;11;11;16;7;19;9;14;10;7;2;7;5;,76;,76;,56;,4;,36;,4;10;11;14;,951214967137966;,61952699853436;,678440330865131;1,4286336933503;,122087129996784
