pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
8,Gong,2019,Are Older Adults More Willing to Donate? The Roles of Donation Form and Social Relationship,4,single,Sample 1,Social Discounting Task,description,NA,hypothetical,155,89,NA,66,NA,54,NA,38,NA,35,NA,28,NA,0.6067415730337079,NA,0.5757575757575758,NA,NA,NA,NA,NA,30.12,NA,69.39,NA,18,NA,60,NA,44,NA,84,NA,4.52,NA,7.25,NA,NA,NA,NA,Area Under Curve,Index the donor’s overall generosity to people. NonRelative-Money trials,-0.6,7.44,0.77,NA,NA,NA,NA,5.67,1.63,NA,NA,NA,NA,both,directly from article
9,Rieger,2015,On the Generality of Age Differences in Social and Nonsocial Decision Making,1,single,Sample1,Dictator Game,description,NA,incentivized,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09999999999999998,NA,NA,NA,0.9,NA,NA,NA,53,NA,NA,NA,17,NA,NA,NA,92,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount given,Amount given across all conditions,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
11,Beadle,2015,"Aging, Empathy, and Prosociality",1,single,Sample1,Dictator Game,description,NA,hypothetical,48,24,NA,24,NA,15,NA,15,NA,NA,NA,NA,NA,0.625,NA,0.625,NA,NA,NA,NA,NA,19.83,NA,77.92,NA,18,NA,67,NA,26,NA,93,NA,2.01,NA,7.71,NA,NA,NA,NA,Amount donated,Mean dollar amount given in the neutral condition.,NA,3.79,1.61,NA,NA,NA,NA,3.79,1.86,NA,NA,NA,NA,extreme group (m + sd),directly from article
13,Roalf,2012,"Risk, Reward, and Economic Decision Making in Aging",1,single,Sample 1,Dictator Game,description,NA,incentivized,56,29,NA,27,NA,14,NA,14,NA,15,NA,13,NA,0.4827586206896552,NA,0.5185185185185185,NA,NA,NA,NA,NA,30.14,NA,71.3,NA,21,NA,65,NA,45,NA,85,NA,5.53,NA,4.36,NA,NA,NA,NA,Amount given,Amount given to recipient,NA,4,2.51,NA,NA,NA,NA,4.23,1.7,NA,NA,NA,NA,extreme group (m + sd),directly from article
12,Rosi,2019,Prosocial behavior in aging: which factors can explain age-related differences in social-economic decision making?,1,single,Sample 1,Dictator Game,description,NA,hypothetical,96,48,NA,48,NA,18,NA,10,NA,NA,NA,NA,NA,0.375,NA,0.20833333333333334,NA,NA,NA,NA,NA,23.29,NA,70.19,NA,19,NA,61,NA,30,NA,82,NA,2.2,NA,5.13,NA,NA,NA,NA,Percent given,Percentage of money offered to the recipient in the no description condition,NA,45.61316684189397,15.069380963891364,2.1750777890059254,NA,NA,NA,52.99145299145299,16.28423836175869,2.3504273504273527,NA,NA,Figure 2,extreme group (m + sd),figure
1,Hellmann,2021,Prosocial behavior during the COVID-19 pandemic in Germany. The role of responsibility and vulnerability,1,Study 1,Sample 1,Social Value Orientation Slider,description,NA,incentivized,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,31.095,NA,NA,NA,18,NA,NA,NA,81,NA,NA,NA,11.917470601081346,NA,NA,NA,NA,NA,NA,NA,SVO angle,Social Value Orientation angle as the total number of prosocial choices. Measured during the pandemic (T2),-0.05111267195650483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available at  https://osf.io/53y7a/,age continuous,raw data
1,Hellmann,2021,Prosocial behavior during the COVID-19 pandemic in Germany. The role of responsibility and vulnerability,2,Study 1,Sample 1,Dictator Game,description,NA,incentivized,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,31.095,NA,NA,NA,18,NA,NA,NA,81,NA,NA,NA,11.917470601081346,NA,NA,NA,NA,NA,NA,NA,Amount given,Sum of amount given across recipients,0.01988491529986782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available at  https://osf.io/53y7a/,age continuous,raw data
1,Hellmann,2021,Prosocial behavior during the COVID-19 pandemic in Germany. The role of responsibility and vulnerability,3,Study 2,Sample 1,Dictator Game,description,NA,incentivized,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5217391304347826,NA,NA,NA,NA,NA,NA,NA,50.103678929765884,NA,NA,NA,18,NA,NA,NA,80,NA,NA,NA,16.11887321336017,NA,NA,NA,NA,NA,NA,NA,Amount given,Sum of amount given across recipients,0.03253965437194482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available at  https://osf.io/qas2x/,age continuous,raw data
1,Hellmann,2021,Prosocial behavior during the COVID-19 pandemic in Germany. The role of responsibility and vulnerability,4,Study 1,Sample 1,Social Value Orientation Slider,description,NA,unknown,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,31.095,NA,NA,NA,18,NA,NA,NA,81,NA,NA,NA,11.917470601081346,NA,NA,NA,NA,NA,NA,NA,SVO angle,Social Value Orientation angle as the total number of prosocial choices. Measured before the pandemic (T1),0.05311889196114027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data available at  https://osf.io/qas2x/,age continuous,raw data
2,Oleszkiewicz,2020,Sensory impairment reduces money sharing in the Dictator Game regardless of the recipient’s sensory status,1,single,Sample 1,Dictator Game,description,NA,incentivized,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5055594594594595,NA,NA,NA,NA,NA,NA,NA,32.61081081081081,NA,NA,NA,16,NA,NA,NA,57,NA,NA,NA,10.995928879150227,NA,NA,NA,NA,NA,NA,NA,Amount given,Amount of money transferred (across all dictator-recipient pairs),0.03810401889538302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,age continuous,raw data
3,Long,2017,Altruism by age and social proximity,1,Survey 1,Sample 1,Dictator Game,description,NA,hypothetical,150,84,75,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4642857142857143,0.4666666666666667,0.42424242424242425,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,40,70,NA,29,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scratch off tickets given,Mean number of scratch off tickets given to recipient,NA,2.961904761904762,2.4889685429703876,NA,2.8142222222222224,2.6694533487553556,NA,2.5806397306397306,2.224882433895643,NA,NA,NA,raw data available,extreme group (m + sd),raw data
10,Kettner,2016,Old age and prosocial behavior: Social preferences or experimental confounds?,1,single,sample 1,Dictator Game,description,NA,hypothetical,96,69,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,0.5208333333333334,NA,NA,NA,NA,NA,NA,NA,35.583333333333336,22.652173913043477,NA,68.62962962962963,17,17,NA,60,78,30,NA,78,21.0976010941961,2.726914259941843,NA,5.393358794695481,NA,NA,NA,NA,Percent given,Percentage of endowment allocated to recipient. 5 euro endowment condition. Take framing,0.180445625528483,0.39420289855072466,0.28588565071649275,NA,NA,NA,NA,0.5222222222222223,0.3456691763625728,NA,NA,NA,Raw data available,age continuous,raw data
10,Kettner,2016,Old age and prosocial behavior: Social preferences or experimental confounds?,2,single,sample 2,Dictator Game,description,NA,hypothetical,86,65,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,0.4418604651162791,NA,NA,NA,NA,NA,NA,NA,34.5,23.153846153846153,NA,69.61904761904762,18,18,NA,61,79,32,NA,79,20.41784110267581,3.270276981917822,NA,4.914022695065525,NA,NA,NA,NA,Percent given,Percentage of endowment allocated to recipient. 5 euro endowment condition. Give framing,0.0948182408779476,0.32153846153846155,0.2792245443256129,NA,NA,NA,NA,0.3904761904761905,0.2896631870030465,NA,NA,NA,Raw data available,age continuous,raw data
10,Kettner,2016,Old age and prosocial behavior: Social preferences or experimental confounds?,3,single,sample 3,Dictator Game,description,NA,incentivized,93,70,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,0.43010752688172044,NA,NA,NA,NA,NA,NA,NA,34.655913978494624,22.742857142857144,NA,70.91304347826087,18,18,NA,60,82,33,NA,82,21.226262764533978,3.109991911475172,NA,5.282157302726888,NA,NA,NA,NA,Percent given,Percentage of endowment allocated to recipient. 5 euro endowment condition. Take framing,0.3502431437063158,0.26285714285714284,0.22533159370614944,NA,NA,NA,NA,0.4826086956521739,0.3433156166681343,NA,NA,NA,Raw data available,age continuous,raw data
10,Kettner,2016,Old age and prosocial behavior: Social preferences or experimental confounds?,4,single,sample 4,Dictator Game,description,NA,incentivized,94,68,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,0.6063829787234043,NA,NA,NA,NA,NA,NA,NA,34.755319148936174,22.779411764705884,NA,66.07692307692308,18,18,NA,60,79,32,NA,79,19.890391136789344,3.4720443813592277,NA,5.388306427240952,NA,NA,NA,NA,Percent given,Percentage of endowment allocated to recipient. 5 euro endowment condition. Give framing,0.35061204006498525,0.2411764705882353,0.21938536537923675,NA,NA,NA,NA,0.4461538461538462,0.27456258919345766,NA,NA,NA,Raw data available,age continuous,raw data
