"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UJWWFZ79","journalArticle","2013","Halfmann, Kameko; Hedgcock, William; Denburg, Natalie L.","Age-related differences in discounting future gains and losses","Journal of Neuroscience, Psychology, and Economics","","2151-318X","10.1037/npe0000003","","When asked to choose between immediate versus future gains, individuals tend to fast-track benefits and, congruently, they tend to delay costs. But, despite the ever-increasing importance of the topic, few studies have investigated this behavior among senior citizens. The handful of studies that have been conducted have produced conflicting results and focused on gains as opposed to losses. These conflicting results may in part be due to demographic confounds and the inherent variability that comes with aging. Here, demographic confounds and variability due to aging were minimized by studying three groups: middle-aged, unimpaired older, and impaired older adults. Participants were asked to choose between sooner−smaller and later−larger monetary rewards and losses. Results indicated that impaired older adults discounted the future more than unimpaired older adults. Interestingly, middle-aged adults discounted future gains at a similar rate as impaired older adults, but discounted future losses less than impaired older adults (and similarly to unimpaired older adults). This may suggest that unimpaired older adults have developed a compensatory mechanism that leads to more cautious, patient choices. We discuss these results in the context of the neurobiology and neuropsychology of aging and decision-making. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2013","2022-03-11 13:19:57","2022-03-11 13:39:59","","42-54","","1","6","","","","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: Educational Publishing Foundation","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=llfpwLkAAAAJ&amp;citation_for_view=llfpwLkAAAAJ:u5HHmVD_uO8C</p>","/Users/abagaini/Zotero/storage/RVBDMLYD/Halfmann et al. - 2013 - Age-related differences in discounting future gain.pdf; /Users/abagaini/Zotero/storage/6UXQMK3W/Halfmann et al. - 2013 - Age-related differences in discounting future gain.pdf; /Users/abagaini/Zotero/storage/VL88BJ8A/Halfmann et al. - 2013 - Age-related differences in discounting future gain.pdf; /Users/abagaini/Zotero/storage/BNIB9ZVS/2013-16456-003.html; /Users/abagaini/Zotero/storage/THYZU8UJ/2013-16456-003.html","","","Decision Making; Aging; Age Differences; Prefrontal Cortex; Delay Discounting; Rewards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76BTK52Z","journalArticle","2011","Jimura, Koji; Myerson, Joel; Hilgard, Joseph; Keighley, Julia; Braver, Todd S.; Green, Leonard","Domain independence and stability in young and older adults’ discounting of delayed rewards","Behavioural Processes","","0376-6357","10.1016/j.beproc.2011.04.006","https://www.sciencedirect.com/science/article/pii/S0376635711000829","Individual discounting rates for different types of delayed reward are typically assumed to reflect a single, underlying trait of impulsivity. Recently, we showed that discounting rates are orders of magnitude steeper for directly consumable liquid rewards than for monetary rewards (Jimura et al., 2009), raising the question of whether discounting rates for different types of reward covary at the individual level. Accordingly, the present study examined the relation between discounting of hypothetical money and real liquid rewards in young adults (Experiment 1) and older adults (Experiment 2). At the group level, young adults discounted monetary rewards more steeply than the older adults, but there was no significant age difference with respect to liquid rewards. At the individual level, the rates at which young and older participants discounted each reward type were stable over a two- to fifteen-week interval (rs>70), but there was no significant correlation between the rates at which they discounted the two reward types. These results suggest that although similar decision-making processes may underlie the discounting of different types of rewards, the rates at which individuals discount money and directly consumable rewards may reflect separate, stable traits, rather than a single trait of impulsivity.","2011-07-01","2022-03-11 13:20:26","2022-03-11 13:20:26","2022-03-11 13:20:25","253-259","","3","87","","Behavioural Processes","","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=uLbGf98AAAAJ&amp;citation_for_view=uLbGf98AAAAJ:-f6ydRqryjwC</p>","/Users/abagaini/Zotero/storage/JIUYDR8R/Jimura et al. - 2011 - Domain independence and stability in young and old.pdf; /Users/abagaini/Zotero/storage/LQ45HLJP/S0376635711000829.html","","","Aging; Delay discounting; Consumable reward; Domain independence; Monetary reward; Stability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWIPGGQG","journalArticle","2013","Li, Ye; Baldassi, Martine; Johnson, Eric J.; Weber, Elke U.","Complementary cognitive capabilities, economic decision making, and aging","Psychology and Aging","","1939-1498","10.1037/a0034172","","Fluid intelligence decreases with age, yet evidence about age declines in decision-making quality is mixed: Depending on the study, older adults make worse, equally good, or even better decisions than younger adults. We propose a potential explanation for this puzzle, namely that age differences in decision performance result from the interplay between two sets of cognitive capabilities that impact decision making, one in which older adults fare worse (i.e., fluid intelligence) and one in which they fare better (i.e., crystallized intelligence). Specifically, we hypothesized that older adults’ higher levels of crystallized intelligence can provide an alternate pathway to good decisions when the fluid intelligence pathway declines. The performance of older adults relative to younger adults therefore depends on the relative importance of each type of intelligence for the decision at hand. We tested this complementary capabilities hypothesis in a broad sample of younger and older adults, collecting a battery of standard cognitive measures and measures of economically important decision-making “traits”—including temporal discounting, loss aversion, financial literacy, and debt literacy. We found that older participants performed as well as or better than younger participants on these four decision-making measures. Structural equation modeling verified our hypothesis: Older participants’ greater crystallized intelligence offset their lower levels of fluid intelligence for temporal discounting, financial literacy, and debt literacy, but not for loss aversion. These results have important implications for public policy and for the design of effective decision environments for older adults. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","2013","2022-03-11 13:20:52","2022-03-11 13:40:02","","595-613","","3","28","","","","","","","","","","","","","","","APA PsycNet","","Place: US Publisher: American Psychological Association","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=C4epFVkAAAAJ&amp;citation_for_view=C4epFVkAAAAJ:_Qo2XoVZTnwC</p>","/Users/abagaini/Zotero/storage/RN6F63RB/Li et al. - 2013 - Complementary cognitive capabilities, economic dec.pdf; /Users/abagaini/Zotero/storage/IWK94Y4I/Li et al. - 2013 - Complementary cognitive capabilities, economic dec.pdf; /Users/abagaini/Zotero/storage/ZDSYS4ST/2013-32609-001.html","","","Decision Making; Aging; Age Differences; Fluid Intelligence; Cognitive Ability; Intelligence; Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWFRIL37","journalArticle","2016","Liu, Lu-lu; Chen, Xing-jie; Cui, Ji-fang; Wang, Jing; Zhang, Yi-bing; Neumann, David L.; Shum, David H. K.; Wang, Ya; Chan, Raymond C. K.","Age differences in delay discounting in Chinese adults","Personality and Individual Differences","","0191-8869","10.1016/j.paid.2015.11.006","https://www.sciencedirect.com/science/article/pii/S0191886915300271","Delay discounting is the decrease in subjective value of a reward as the interval of receiving it is increased. Previous studies have found inconsistent results on the relationship between age and delay discounting, and few studies have been conducted using Chinese participants. The current study aimed to clarify this relationship using a relatively large sample of Chinese adults with a wide age range (viz., 18 to 86years old). A total of 1288 individuals completed the Monetary Choice Questionnaire. Results showed that the rate of delay discounting increased with age across adulthood, with younger participants (18–30years) discounting less than both middle-aged participants (31–60years) and older participants (over 60years); and middle-aged participants discounting less than older participants. Furthermore, when the reward magnitude was large, participants were more likely to wait for delayed rewards. The increase in delay discounting rate from middle-aged adults to older adults might be explained by the life-cycle theory. The increase in delay discounting rate from young adults to middle-aged adults may reflect that young adults expect much time and a variety of future positive life events in the rest of their lives.","2016-02-01","2022-03-11 13:21:25","2022-03-11 13:21:25","2022-03-11 13:21:25","205-209","","","90","","Personality and Individual Differences","","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=SBrftrYAAAAJ&amp;citation_for_view=SBrftrYAAAAJ:YsMSGLbcyi4C</p>","/Users/abagaini/Zotero/storage/XDLV35TS/S0191886915300271.html","","","Delay discounting; Monetary reward; Age differences; Chinese; Lifespan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ER4LTBWI","journalArticle","2011","Samanez-Larkin, Gregory; Mata, Rui; Radu, Peter; Ballard, Ian; Carstensen, Laura; McClure, Samuel","Age Differences in Striatal Delay Sensitivity during Intertemporal Choice in Healthy Adults","Frontiers in Neuroscience","","1662-453X","10.3389/fnins.2011.00126","https://www.frontiersin.org/article/10.3389/fnins.2011.00126","Intertemporal choices are a ubiquitous class of decisions that involve selecting between outcomes available at different times in the future. We investigated the neural systems supporting intertemporal decisions in healthy younger and older adults. Using functional neuroimaging, we find that aging is associated with a shift in the brain areas that respond to delayed rewards. Although we replicate findings that brain regions associated with the mesolimbic dopamine system respond preferentially to immediate rewards, we find a separate region in the ventral striatum with very modest time dependence in older adults. Activation in this striatal region was relatively insensitive to delay in older but not younger adults. Since the dopamine system is believed to support associative learning about future rewards over time, our observed transfer of function may be due to greater experience with delayed rewards as people age. Identifying differences in the neural systems underlying these decisions may contribute to a more comprehensive model of age-related change in intertemporal choice.","2011","2022-03-11 13:22:08","2022-03-14 12:16:02","2022-03-11 13:22:08","","","","5","","","","","","","","","","","","","","","Frontiers","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=SyS8rVcAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=SyS8rVcAAAAJ:YsMSGLbcyi4C</p>","/Users/abagaini/Zotero/storage/FINMLRCX/Samanez-Larkin et al. - 2011 - Age Differences in Striatal Delay Sensitivity duri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDUIHQU3","journalArticle","2009","Whelan, Robert; McHugh, Louise A.","Temporal Discounting of Hypothetical Monetary Rewards by Adolescents, Adults, and Older Adults","The Psychological Record","","2163-3452","10.1007/BF03395661","https://doi.org/10.1007/BF03395661","The present experiment examined temporal discounting across 3 different age bands: adolescents, adults, and older adults (mean ages 14, 46, and 73 years, respectively). A computerized task was employed in which participants were asked to choose between larger rewards available at a specified time in the future—either £100 or £1,000 (approximately $200 and $2,000, respectively)— or a smaller reward available immediately. The subjective value of the reward decreased with increasing delay for each of the 3 age groups. A hyperbola-like function adequately described the group discounting data. The adolescent group discounted significantly more than the adult group when the larger later reward (LLR) was £100 but not when the LLR was £1,000. The adolescents discounted significantly more than the older adult group when the LLR was either £100 or £1,000. There were no significant differences in discounting between the adult and older adult groups. The results of the present study suggest that the rate of temporal discounting is higher in adolescents than in adults but is stable from middle adulthood to older adulthood. Furthermore, the process of temporal discounting appears to be quantitatively similar across the life span.","2009-04-01","2022-03-11 13:23:42","2022-03-11 13:23:42","2022-03-11 13:23:42","247-258","","2","59","","Psychol Rec","","","","","","","","en","","","","","Springer Link","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=etUWBesAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=etUWBesAAAAJ:lbI08cpqPnQC</p>","/Users/abagaini/Zotero/storage/JY5UYYVR/Whelan and McHugh - 2009 - Temporal Discounting of Hypothetical Monetary Rewa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7PLKPQD","journalArticle","2014","Bickel, Warren K.; George Wilson, A.; Franck, Christopher T.; Terry Mueller, E.; Jarmolowicz, David P.; Koffarnus, Mikhail N.; Fede, Samantha J.","Using crowdsourcing to compare temporal, social temporal, and probability discounting among obese and non-obese individuals","Appetite","","0195-6663","10.1016/j.appet.2013.12.018","https://www.sciencedirect.com/science/article/pii/S0195666313005059","Previous research comparing obese and non-obese samples on the delayed discounting procedure has produced mixed results. The aim of the current study was to clarify these discrepant findings by comparing a variety of temporal discounting measures in a large sample of internet users (n=1163) obtained from a crowdsourcing service, Amazon Mechanical Turk (AMT). Measures of temporal, social–temporal (a combination of standard and social temporal), and probability discounting were obtained. Significant differences were obtained on all discounting measures except probability discounting, but the obtained effect sizes were small. These data suggest that larger-N studies will be more likely to detect differences between obese and non-obese samples, and may afford the opportunity, in future studies, to decompose a large obese sample into different subgroups to examine the effect of other relevant measures, such as the reinforcing value of food, on discounting.","2014-04-01","2022-03-11 13:24:33","2022-03-11 13:24:33","2022-03-11 13:24:32","82-89","","","75","","Appetite","","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=RAAN-0MAAAAJ&amp;cstart=200&amp;pagesize=100&amp;sortby=pubdate&amp;citation_for_view=RAAN-0MAAAAJ:JoZmwDi-zQgC</p>","/Users/abagaini/Zotero/storage/J8YIZGNQ/Bickel et al. - 2014 - Using crowdsourcing to compare temporal, social te.pdf; /Users/abagaini/Zotero/storage/X6LULPXP/S0195666313005059.html","","","Decision making; Obesity; Temporal discounting; Crowdsourcing; Probability discounting; Social discounting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABNZH724","journalArticle","2012","Boyle, Patricia A.; Yu, Lei; Segawa, Eisuke; Wilson, Robert S.; Buchman, Aron S.; Laibson, David I.; Bennett, David A.","Association of cognition with temporal discounting in community based older persons","BMC Geriatrics","","1471-2318","10.1186/1471-2318-12-48","https://doi.org/10.1186/1471-2318-12-48","The objective of this study was to test the hypothesis that cognitive function is negatively associated with temporal discounting in old age.","2012-08-31","2022-03-11 13:24:46","2022-03-11 13:24:46","2022-03-11 13:24:46","48","","1","12","","BMC Geriatrics","","","","","","","","","","","","","BioMed Central","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=BsHfjioAAAAJ&amp;cstart=200&amp;pagesize=100&amp;sortby=pubdate&amp;citation_for_view=BsHfjioAAAAJ:u_35RYKgDlwC</p>","/Users/abagaini/Zotero/storage/ZAL5ZJQH/Boyle et al. - 2012 - Association of cognition with temporal discounting.pdf; /Users/abagaini/Zotero/storage/954MTVCM/1471-2318-12-48.html","","","Decision making; Aging; Preferences; Cognition; Temporal discounting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDPWFLJJ","journalArticle","2018","Hampton, William H.; Asadi, Nima; Olson, Ingrid R.","Good Things for Those Who Wait: Predictive Modeling Highlights Importance of Delay Discounting for Income Attainment","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2018.01545","https://www.frontiersin.org/article/10.3389/fpsyg.2018.01545","Income is a primary determinant of social mobility, career progression, and personal happiness. It has been shown to vary with demographic variables like age and education, with more oblique variables such as height, and with behaviors such as delay discounting, i.e., the propensity to devalue future rewards. However, the relative contribution of each these salary-linked variables to income is not known. Further, much of past research has often been underpowered, drawn from populations of convenience, and produced findings that have not always been replicated. Here we tested a large (n = 2,564), heterogeneous sample, and employed a novel analytic approach: using three machine learning algorithms to model the relationship between income and age, gender, height, race, zip code, education, occupation, and discounting. We found that delay discounting is more predictive of income than age, ethnicity, or height. We then used a holdout data set to test the robustness of our findings. We discuss the benefits of our methodological approach, as well as possible explanations and implications for the prominent relationship between delay discounting and income.","2018","2022-03-11 13:26:49","2022-03-14 12:14:28","2022-03-11 13:26:49","","","","9","","","Good Things for Those Who Wait","","","","","","","","","","","","Frontiers","","","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=0QaUCCUAAAAJ&amp;citation_for_view=0QaUCCUAAAAJ:_FxGoFyzp5QC</p>; <p>not first author</p>","/Users/abagaini/Zotero/storage/KSNCM32A/Hampton et al. - 2018 - Good Things for Those Who Wait Predictive Modelin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HNAL4BJ","journalArticle","2015","Johnson, Patrick S.; Herrmann, Evan S.; Johnson, Matthew W.","Opportunity costs of reward delays and the discounting of hypothetical money and cigarettes","Journal of the Experimental Analysis of Behavior","","1938-3711","10.1002/jeab.110","https://onlinelibrary.wiley.com/doi/abs/10.1002/jeab.110","Humans are reported to discount delayed rewards at lower rates than nonhumans. However, nonhumans are studied in tasks that restrict reinforcement during delays, whereas humans are typically studied in tasks that do not restrict reinforcement during delays. In nonhuman tasks, the opportunity cost of restricted reinforcement during delays may increase delay discounting rates. The present within-subjects study used online crowdsourcing (Amazon Mechanical Turk, or MTurk) to assess the discounting of hypothetical delayed money (and cigarettes in smokers) under four hypothetical framing conditions differing in the availability of reinforcement during delays. At one extreme, participants were free to leave their computer without returning, and engage in any behavior during reward delays (modeling typical human tasks). At the opposite extreme, participants were required to stay at their computer and engage in little other behavior during reward delays (modeling typical nonhuman tasks). Discounting rates increased as an orderly function of opportunity cost. Results also indicated predominantly hyperbolic discounting, the “magnitude effect,” steeper discounting of cigarettes than money, and positive correlations between discounting rates of these commodities. This is the first study to test the effects of opportunity costs on discounting, and suggests that procedural differences may partially account for observed species differences in discounting.","2015","2022-03-11 13:26:55","2022-03-11 13:26:55","2022-03-11 13:26:55","87-107","","1","103","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/jeab.110","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=B4V-vI8AAAAJ&amp;citation_for_view=B4V-vI8AAAAJ:UebtZRa9Y70C</p>","/Users/abagaini/Zotero/storage/IRHFTCN4/Johnson et al. - 2015 - Opportunity costs of reward delays and the discoun.pdf; /Users/abagaini/Zotero/storage/4WV6IB33/jeab.html","","","human; delay discounting; cigarette; crowdsourcing; hypothetical; money; opportunity cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDGK847P","journalArticle","2002","Kirby, Kris N; Godoy, Ricardo; Reyes-Garcı́a, Victoria; Byron, Elizabeth; Apaza, Lilian; Leonard, William; Pérez, Eddy; Vadez, Vincent; Wilkie, David","Correlates of delay-discount rates: Evidence from Tsimane' Amerindians of the Bolivian rain forest","Journal of Economic Psychology","","0167-4870","10.1016/S0167-4870(02)00078-8","https://www.sciencedirect.com/science/article/pii/S0167487002000788","Delay-discount rates (or rates of time preference) are associated with rates of consumption and a variety of impulsive behaviors. Despite the importance of discounting, little is known about its covariates. We estimated discount rates for money and candy rewards in each of four quarters for 154 Tsimane' Amerindians (10–80 years of age). The Tsimane' are a horticultural and foraging society in the tropical rain forest of Bolivia. Discount rates increased with age, decreased with educational levels and literacy, and tended to decrease as recent income rose. Rates were not associated with wealth, nutritional status, or moderate drug use. There were low but reliable correlations between discount rates across quarters, suggesting that a person's discount rate is a somewhat stable characteristic that is also strongly influenced by situational factors.","2002-06-01","2022-03-11 13:27:52","2022-03-11 13:27:52","2022-03-11 13:27:52","291-316","","3","23","","Journal of Economic Psychology","Correlates of delay-discount rates","","","","","","","en","","","","","ScienceDirect","","","<p>https://scholar.google.ch/citations?view_op=view_citation&amp;hl=en&amp;user=H9Jf_roAAAAJ&amp;citation_for_view=H9Jf_roAAAAJ:_B80troHkn4C</p>; <p>not first author</p>","/Users/abagaini/Zotero/storage/CKKZGB8W/S0167487002000788.html","","","Impulsiveness; Economics; Choice behavior; Delay of gratification; Monetary rewards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MHI9W9P","report","2018","Lempert, Karolina; Wolk, David A.; Kable, Joe","Declarative memory, but not executive function, is associated with temporal discounting in older adults","","","","","https://psyarxiv.com/vb743/","People often make decisions involving trade-offs between smaller immediate and larger delayed rewards. In intertemporal choices such as these, individuals tend to discount the value of future rewards, a tendency known as temporal discounting. Most people exhibit some degree of temporal discounting, but the rate at which people discount future rewards varies widely. Two neurocognitive systems have been proposed as potential candidates for mediating individual differences in discounting: executive function and declarative memory. Both of these functions decline as people age, at rates that vary across individuals. Here we leverage this variability in cognitive abilities among older adults (both cognitively normal and with mild cognitive impairment, MCI) to investigate associations between temporal discounting and executive function versus declarative memory. We find that neuropsychological measures of declarative memory (episodic memory retrieval and semantic fluency), but not executive function (Trail Making Test and lexical fluency), are associated with temporal discounting. People with better memory discount delayed rewards less. Consistent with this, individuals diagnosed with MCI show steeper discount rates compared to cognitively normal older adults. In contrast, executive function, but not declarative memory, is associated with the extent to which an individual is risk-neutral, or expected-value maximizing, in a risky choice task. These findings elucidate the inconsistent literature on aging and economic preferences, and they suggest that distinct neural systems mediate individual differences in the risk and time domain.","2018-09-27","2022-03-11 13:28:10","2022-03-11 13:28:10","2022-03-11 13:28:10","","","","","","","","","","","","PsyArXiv","","en-us","","","","","OSF Preprints","","DOI: 10.31234/osf.io/vb743 type: article","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=EGPOCPYAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=EGPOCPYAAAAJ:MXK_kJrjxJIC</p>","/Users/abagaini/Zotero/storage/PNGSRZVP/Lempert et al. - 2018 - Declarative memory, but not executive function, is.pdf","","","Memory; Social and Behavioral Sciences; Cognitive Psychology; Judgment and Decision Making; Cognitive Neuroscience; Neuroscience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8R23DQJU","journalArticle","","Lee, Anthony J.; DeBruine, Lisa M.; Jones, Benedict C.","Individual-specific mortality is associated with how individuals evaluate future discounting decisions","Proceedings of the Royal Society B: Biological Sciences","","","10.1098/rspb.2018.0304","https://royalsocietypublishing.org/doi/10.1098/rspb.2018.0304","How organisms discount the value of future rewards is associated with many important outcomes, and may be a central component of theories of life-history. According to life-history theories, prioritizing immediacy is indicative of an accelerated strategy (i.e. reaching reproductive maturity quickly and producing many offspring at the cost of long-term investment). Previous work extrapolating life-history theories to facultative calibration of life-history traits within individuals has theorized that cues to mortality can trigger an accelerated strategy; however, compelling evidence for this hypothesis in modern humans is lacking. We assessed whether country-level life expectancy predicts individual future discounting behaviour across multiple intertemporal choice items in a sample of 13 429 participants from 54 countries. Individuals in countries with lower life expectancy were more likely to prefer an immediate reward to one that is delayed. Individuals from countries with greater life expectancy were especially more willing to wait for a future reward when the relative gain in choosing the future reward was large and/or the delay period was short. These results suggest that cues to mortality can influence the way individuals evaluate intertemporal decisions, which in turn can inform life-history trade-offs. We also found that older (but not very old) participants were more willing to wait for a future reward when there is a greater relative gain and/or shorter delay period, consistent with theoretical models that suggest individuals are more future-orientated at middle age.","","2022-03-11 13:28:40","2022-03-11 13:28:40","2022-03-11 13:28:40","20180304","","1880","285","","","","","","","","","","","","","","","royalsocietypublishing.org (Atypon)","","Publisher: Royal Society","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=5MqrYB8AAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=5MqrYB8AAAAJ:ZuybSZzF8UAC</p>","/Users/abagaini/Zotero/storage/H6CXSEZH/Lee et al. - Individual-specific mortality is associated with h.pdf","","","delay discounting; ageing; cross-cultural research; intertemporal choice; life expectancy; life-history theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28Q6733K","journalArticle","2011","Löckenhoff, Corinna E.","Age, time, and decision making: from processing speed to global time horizons","Annals of the New York Academy of Sciences","","1749-6632","10.1111/j.1749-6632.2011.06209.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.2011.06209.x","Time and time perceptions are integral to decision making because any meaningful choice is embedded in a temporal context and requires the evaluation of future preferences and outcomes. The present review examines the influence of chronological age on time perceptions and horizons and discusses implications for decision making across the life span. Time influences and interacts with decision making in multiple ways. Specifically, this review examines the following topic areas: (1) processing speed and decision time, (2) internal clocks and time estimation, (3) mental representations of future time and intertemporal choice, and (4) global time horizons. For each aspect, patterns of age differences and implications for decision strategies and quality are discussed. The conclusion proposes frameworks to integrate different lines of research and identifies promising avenues for future inquiry.","2011","2022-03-11 13:29:58","2022-03-11 13:29:58","2022-03-11 13:29:58","44-56","","1","1235","","","Age, time, and decision making","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1749-6632.2011.06209.x","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=1YWrStYAAAAJ&amp;cstart=20&amp;pagesize=80&amp;citation_for_view=1YWrStYAAAAJ:hqOjcs7Dif8C</p>","/Users/abagaini/Zotero/storage/E44EU4VX/Löckenhoff - 2011 - Age, time, and decision making from processing sp.pdf; /Users/abagaini/Zotero/storage/HHSXTHZ8/j.1749-6632.2011.06209.html","","","aging; decision making; intertemporal choice; socioemotional selectivity; time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZA4YW9I","journalArticle","2018","Mahalingam, Vaishali; Palkovics, Michael; Kosinski, Michal; Cek, Iva; Stillwell, David","A Computer Adaptive Measure of Delay Discounting","Assessment","","1073-1911","10.1177/1073191116680448","https://doi.org/10.1177/1073191116680448","Delay discounting has been linked to important behavioral, health, and social outcomes, including academic achievement, social functioning and substance use, but thoroughly measuring delay discounting is tedious and time consuming. We develop and consistently validate an efficient and psychometrically sound computer adaptive measure of discounting. First, we develop a binary search–type algorithm to measure discounting using a large international data set of 4,190 participants. Using six independent samples (N = 1,550), we then present evidence of concurrent validity with two standard measures of discounting and a measure of discounting real rewards, convergent validity with addictive behavior, impulsivity, personality, survival probability; and divergent validity with time perspective, life satisfaction, age and gender. The new measure is considerably shorter than standard questionnaires, includes a range of time delays, can be applied to multiple reward magnitudes, shows excellent concurrent, convergent, divergent, and discriminant validity—by showing more sensitivity to effects of smoking behavior on discounting.","2018-12-01","2022-03-11 13:30:04","2022-03-11 13:30:04","2022-03-11 13:30:04","1036-1055","","8","25","","Assessment","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","<p>https://scholar.google.com/citations?view_op=view_citation&amp;hl=en&amp;user=2B5hBBMAAAAJ&amp;citation_for_view=2B5hBBMAAAAJ:Tyk-4Ss8FVUC</p>","/Users/abagaini/Zotero/storage/UXH6GZ32/Mahalingam et al. - 2018 - A Computer Adaptive Measure of Delay Discounting.pdf","","","delay discounting; addiction; computer adaptive testing; hierarchical linear modeling/multilevel modeling; item response theory; social network data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
