id,estimate,choice,comp_1,comp_2,task_experience,pastatt,age,gender,cond_num,fail_comp_1,fail_comp_2,comp_fail,novice
R_1OTtlxFVagaFaP6,4,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,23,Male,54,0,0,0,0
R_pFOpGSruKOYU3O9,30,Option B,10,I don't know,No,This is the first time I have completed this survey,55,Male,29,0,1,1,1
R_5jB5CbX9rWJS59f,100,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,13,0,0,0,1
R_3j8LpGgWhdYeYAe,13,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,35,Female,23,0,0,0,1
R_2axEFsfWrnfLQPs,7,Option B,Other,Because of a printing error,No,This is the first time I have completed this survey,37,Female,29,1,0,1,1
R_1nPmqOikWDHlXDc,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,54,0,0,0,1
R_5vtx4hJYa6qyIqB,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,13,0,0,0,1
R_1r162niad8Xt0jt,2,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,40,Male,15,0,0,0,1
R_2xAdPIEkLzFxuqI,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,38,0,0,0,1
R_ZKLgbXtZvpthyz7,2,Option A,10,Other,No,This is the first time I have completed this survey,20,Male,11,0,1,1,1
R_tKTlFXfRKeUMhc5,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,18,0,0,0,1
R_QlEl7yBQCvQM1cB,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,33,Female,23,0,0,0,1
R_2xWDnyx6CLHR4fj,2,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,22,Female,15,0,0,0,0
R_1db6p2okNYZQrmM,2,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Female,18,0,0,0,1
R_28A1kHWelaMhby0,4,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,22,Female,13,0,0,0,1
R_NXUsVHKRenNSzCN,2.5,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,28,Male,23,0,0,0,0
R_28UTFjwhN5Wwt0E,30,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,47,Female,29,0,0,0,1
R_3gSJIExWQTq8yey,30,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,24,Male,54,0,0,0,0
R_2QDSqLntPDX7UAl,365,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,20,Male,38,0,0,0,1
R_XnqfVFouFEsSc81,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,21,Female,11,0,0,0,1
R_2dSlt2ontUypTCY,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,47,Female,23,0,0,0,1
R_3Gw8wscjP98bXwm,30,Option B,10,I don't know,No,This is the first time I have completed this survey,28,Female,13,0,1,1,1
R_3qQnHf8IO7Kxcr9,5.4,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,22,Female,54,0,0,0,1
R_3QXhzlmzNMVGTDT,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,27,Male,18,0,0,0,1
R_30cVyF2nbbHFZwm,5,Option A,10,I don't know,Yes,This is the first time I have completed this survey,27,Female,11,0,1,1,0
R_1JXGsMrNKrjRB4s,44,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,29,Female,54,0,0,0,0
R_3gYOgNRimpkvffg,30,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,34,Female,11,0,0,0,0
R_1DZNwpR0RUk4R0w,7,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,37,Male,23,0,0,0,0
R_3lGFJOPoonXMCWm,2.8,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,21,Male,38,0,0,0,1
R_3GjguRlp0ZdxQel,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,18,Female,15,0,0,0,1
R_3qJzQm2MS3aH7FA,5,Option B,10,Other,No,This is the first time I have completed this survey,31,Female,18,0,1,1,1
R_8GGFj4q08H48pa1,14.75,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,18,Male,29,0,0,0,1
R_DTuMrcBeZSXIWA1,7,Option B,10,Because of a problem loading the text,Don't know,This is the first time I have completed this survey,23,Male,54,0,1,1,0
R_1FSadmz6A0hBRab,7,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,25,Female,13,0,0,0,0
R_1gU9GkMu5rwggaL,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,32,Female,18,0,0,0,1
R_1JFKaGNcss0F1RN,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,44,Female,13,0,0,0,1
R_WpSfXMiHn3oOzJL,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,24,Female,23,0,0,0,1
R_1LnHWfRkGeq04iR,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,44,Female,15,0,0,0,1
R_3MunVhI12Za4DWL,21,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,22,Male,38,0,0,0,0
R_1eyEqpBWntpvXQE,5,Option B,0,Because of a problem loading the text,Yes,This is the first time I have completed this survey,22,Female,29,1,1,1,0
R_2R31octB990erSM,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,43,Male,11,0,0,0,1
R_Wk9PtyK7kcZTPTX,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,23,0,0,0,1
R_2E0nZVbP9mPxvpd,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,29,0,0,0,1
R_12R9Yh1rbm5xE10,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,48,Female,13,0,0,0,1
R_2doTjsbZHAcQGlh,33,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,38,Female,29,0,0,0,1
R_rjrgLgMTbUwypod,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,55,Female,54,0,0,0,1
R_eFi5JtzKcBVVvEt,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,25,Female,38,0,0,0,1
R_W9bGoFNhIom0Rjz,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,15,0,0,0,1
R_2CE9AfHp6RCQiHn,2,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,27,Male,13,0,0,0,1
R_3HnsMVbV2rK08MA,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,27,Female,18,0,0,0,0
R_3KN6Nf5ASi6zAXr,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,27,Male,29,0,0,0,1
R_129hw6HrJEFMz1t,30,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,52,Male,15,0,0,0,1
R_RK6eK6wcfCoTVrX,100,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,58,Male,38,0,0,0,1
R_2thALGgrsxDbyDQ,15,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,39,Female,54,0,0,0,0
R_RQX3QtdlmxG19V7,5,Option A,10,Because of a printing error,Yes,This is the first time I have completed this survey,22,Female,11,0,0,0,0
R_DCVfnSzx8VW2md3,2,Option B,10,Because of a typo,Don't know,This is the first time I have completed this survey,45,Female,11,0,1,1,0
R_2wHxWIINuVJXDwE,1.8,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,37,Male,18,0,0,0,1
R_2YSpeNjLoqd3OgE,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Male,29,0,0,0,1
R_1LOI4L415b6Sr5m,10,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,30,Female,23,1,0,1,1
R_20Z2F2oF4IHd7zQ,14,Option B,100,Other,No,This is the first time I have completed this survey,28,Female,23,1,1,1,1
R_3JfQXyo3kRAo1rj,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,15,0,0,0,1
R_3Lkh9g9OrUaundw,5.4,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,22,Male,54,0,0,0,1
R_ZfuVVuXe1GSQm5z,28,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,13,0,0,0,1
R_1LSckMpBaia74qP,28,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,32,Female,38,0,0,0,0
R_sUcjR8kSNi2lsqZ,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,22,Male,18,0,0,0,1
R_2ebApIdSmYK4G98,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,38,Female,11,0,0,0,1
R_3ELK6nK04gkTNrY,7,Option B,10,Because of a problem loading the text,Yes,This is the first time I have completed this survey,34,Female,13,0,1,1,0
R_xFmT2css3ERD8uR,30,Option B,10,Because of a problem loading the text,Yes,This is the first time I have completed this survey,37,Male,23,0,1,1,0
R_1Cd2rR1bYjWkr5u,5.4,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,24,Male,54,0,0,0,1
R_O8emx2ojaf0JKRH,30,Option B,10,Because of a problem loading the text,No,This is the first time I have completed this survey,68,Female,15,0,1,1,1
R_3Of4Uqnl0fhw3ZR,60,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Female,29,0,0,0,1
R_1K2vwuhvUN6rYdk,5,Option B,10,Because of a typo,No,This is the first time I have completed this survey,21,Female,18,0,1,1,1
R_aazoDWZXnxDGS5z,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,15,0,0,0,1
R_3h0kENULEUxV7u3,381,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,23,Male,38,0,0,0,1
R_2zdAeqLnkOR3iYR,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,19,Female,13,0,0,0,1
R_1g0k9IXykIoewMV,3,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,49,Female,54,0,0,0,0
R_2w7alr8pce56FTY,3,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,50,Female,18,0,0,0,0
R_1gA6JavpS7WVHSw,7,Option A,10,Because of a printing error,Yes,This is the first time I have completed this survey,47,Female,11,0,0,0,0
R_3G0uQC8M5DWBc6y,30,Option B,10,Because the wrong font was used,No,This is the first time I have completed this survey,40,Female,23,0,1,1,1
R_3Hv16ArTLvGS6QH,4,Option B,10,Because of a problem loading the text,Don't know,This is the first time I have completed this survey,73,Female,23,0,1,1,0
R_3IYLoeYqbwRgidR,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,46,Female,29,0,0,0,1
R_1LLhueY3wbx7JR3,30,Option B,10,Because of a typo,Yes,This is the first time I have completed this survey,59,Female,29,0,1,1,0
R_9KYCBNjgt8l6UBX,3,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,23,Female,13,0,0,0,0
R_2uOr08a95BzazTI,8,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,18,0,0,0,1
R_2TQQvDNjmnElpXO,10,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,18,Male,15,0,0,0,0
R_2e8aguUuBRw3lGq,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,18,Male,38,0,0,0,1
R_2bIx3jksFIrPpK4,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,21,Female,15,0,0,0,1
R_2uWMBQJo2bdKNlr,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,49,Female,38,0,0,0,1
R_3pul6ES4c6PkwzD,100,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,54,0,0,0,1
R_AAp58CQSqRS7tNn,19,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,48,Male,29,0,0,0,1
R_YXlzmYxXLYpY6J3,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,35,Female,13,0,0,0,1
R_1PXFr54zBkT2F4N,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,52,Female,18,0,0,0,1
R_1diAoWUuY03cp4n,30,Option B,I don't know,Other,Yes,This is the first time I have completed this survey,52,Female,23,1,1,1,0
R_wLzW0kEclb5MSkh,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Female,54,0,0,0,1
R_32K2dvUoUhHQ6N3,7,Option A,Other,Because of a printing error,No,This is the first time I have completed this survey,22,Male,11,1,0,1,1
R_3iPd5dvfCpa84KG,5,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,34,Female,11,0,0,0,0
R_3PRX6YJKkRzP3Te,10,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,19,Female,18,0,0,0,0
R_Y5iKA3KhcclGYiB,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,35,Male,13,0,0,0,1
R_2ANo8SoVvOJ0RDS,5,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,37,Male,54,0,0,0,0
R_3pcfuUMuMJdHO6e,7,Option B,Other,Because of a printing error,No,This is the first time I have completed this survey,23,Female,29,1,0,1,1
R_1pWpldgLBZAQrOJ,31,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Female,23,0,0,0,1
R_11iMVw56B9IG2p9,28,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,48,Female,38,1,0,1,1
R_3PGIQjffxr7a4GZ,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,21,Male,18,0,0,0,0
R_YYpb9e7zQjZPEyZ,28,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,38,0,0,0,1
R_26nd5RkZus2sQUI,30,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,77,Female,23,1,0,1,1
R_807xGFifDQdlwRP,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,53,Female,15,0,0,0,1
R_4NtAibWv4BG3Lq1,1,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,41,Female,11,0,0,0,1
R_2wgAPuMiedBTqyM,5,Option A,10,Because of a printing error,Don't know,This is the first time I have completed this survey,20,Male,13,0,0,0,0
R_1H5fXekFjWDrsvk,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,39,Male,54,0,0,0,1
R_2wGKmm9tYnHSFqL,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,23,0,0,0,1
R_1rvQfdaCdPz6SL8,3,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,22,Male,29,0,0,0,0
R_3LYgS3WReSfeKE3,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,23,Female,15,0,0,0,1
R_8DqbtDoAZVWEgnv,50,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,29,Female,38,0,0,0,1
R_1DT1y7Omz1ago7L,3,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,22,Female,15,0,0,0,0
R_25zqeEOL6ZvONGo,28,Option B,10,Because of a problem loading the text,No,This is the first time I have completed this survey,39,Female,54,0,1,1,1
R_2eRs3gEma8HA0A0,30,Option B,10,I don't know,No,This is the first time I have completed this survey,27,Female,29,0,1,1,1
R_3PCcLdrpMHJGG5o,3,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,23,Male,11,0,0,0,1
R_3oLwL5qiUda0oAj,3,Option B,10,I don't know,No,This is the first time I have completed this survey,30,Female,18,0,1,1,1
R_1GJQyyWe5m1NgC9,15,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,40,Female,13,0,0,0,1
R_b9J9S9Hs5gDBz1v,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Female,23,0,0,0,1
R_1C0UvdT8ZUT15IG,3,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,20,Male,11,0,0,0,1
R_24ipqpagQ0hYwNo,28,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,49,Female,13,0,0,0,1
R_31FVMzB6U09dkIz,3.8,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,22,Female,38,1,0,1,1
R_1PdW1AdOdTSIzR6,2.9,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,19,Male,29,0,0,0,1
R_3R92BjGUJsGXGWo,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,41,Male,18,0,0,0,1
R_9QU0mpJ9Se8NhRv,21,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Male,54,0,0,0,1
R_2us4rmM7gXXm8EO,3,Option A,10,Other,Yes,This is the first time I have completed this survey,33,Male,11,0,1,1,0
R_ph0UGscJSTTCR0Z,2,Option B,20,Other,No,This is the first time I have completed this survey,57,Female,15,1,1,1,1
R_pMhtaA2mVxmS4mZ,60,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,27,Female,23,0,0,0,0
R_3PvqLOUXa1EvaG3,30,Option B,I don't know,Because of a printing error,No,This is the first time I have completed this survey,29,Female,29,1,0,1,1
R_1j7D9mlLTiIsJdT,90,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,38,Male,29,0,0,0,1
R_W8o1KQxia9PItEt,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,33,Female,38,0,0,0,1
R_veuddbOeJz3DqG5,14,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,51,Male,13,0,0,0,0
R_2fwc3W8HBfbtXPb,6,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,54,Female,54,0,0,0,0
R_3r1yj5A6BPhLI56,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,48,Female,23,0,0,0,1
R_1N4H0FtNBnCtS3w,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,43,Female,15,0,0,0,1
R_3gUy32LjJq7Aqy9,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,18,0,0,0,1
R_1kHvu7dL0M2O8WE,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,20,Female,11,0,0,0,1
R_2QScUDxaU1jquwd,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,37,Female,38,0,0,0,1
R_3MlEqznMYJqwekz,7,Option B,10,Because of a typo,No,This is the first time I have completed this survey,34,Male,13,0,1,1,1
R_3ey8FyXDyJOLI7Q,3,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,20,Female,13,1,0,1,1
R_3JkkTCx4gtJmlaJ,28,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,34,Female,54,1,0,1,1
R_2rAEbfFaPS8bCyC,10,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,61,Male,11,0,0,0,0
R_23WhRXR34CuhqYP,7,Option A,10,I don't know,No,This is the first time I have completed this survey,34,Female,15,0,1,1,1
R_12xrVLEIpZiC2Vv,120,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,58,Female,18,0,0,0,1
R_uyrDfQj8U9rCHi9,20,Option B,10,Because of a printing error,Don't know,This is the first time I have completed this survey,25,Male,23,0,0,0,0
R_2rueogyqONrQpya,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,66,Female,54,0,0,0,1
R_1IGbedmCZ3Awn21,1.5,Option B,0,Because the wrong font was used,No,This is the first time I have completed this survey,44,Male,15,1,1,1,1
R_2ARn4zFPVMwfgLU,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,30,Female,11,0,0,0,0
R_1d6ouQNwjeAoAKV,28,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,55,Female,38,0,0,0,1
R_2bQ3JHMeFUnNPKr,20,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,58,Female,15,0,0,0,1
R_25Kqc9qWJC6DJof,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,18,0,0,0,1
R_1r8uxIhOlTxoZA8,100,Option A,10,Because of a printing error,Yes,This is the first time I have completed this survey,28,Female,38,0,0,0,0
R_1LZFpjy9Omjw8q4,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,28,Female,29,0,0,0,1
R_WfEhzkLcP8MYqhb,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,31,Female,23,0,0,0,1
R_1FmKZJhj3uBhYAq,5.4,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,63,Male,54,0,0,0,1
R_21zlSCmMH2HrrZk,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,59,Male,38,0,0,0,1
R_1LvP4y1po91pFu6,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,24,Male,15,0,0,0,0
R_33872pALFyS7Zhe,50,Option B,10,I don't know,No,This is the first time I have completed this survey,24,Female,23,0,1,1,1
R_3GCb1XLmMxV4T6E,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,36,Female,18,0,0,0,1
R_b93nBpSuBJ6pok1,10,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,49,Female,13,0,0,0,1
R_2fJyMCpnE0trR3c,1,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,27,Female,11,0,0,0,1
R_3qEUjZMwpSZjuZ3,8,Option B,10,Because of a typo,No,This is the first time I have completed this survey,23,Male,54,0,1,1,1
R_2ByNCbujhctgsrB,5,Option B,10,Because of a problem loading the text,No,This is the first time I have completed this survey,38,Female,13,0,1,1,1
R_3HHPPj2cxTed34d,30,Option B,10,Because of a problem loading the text,No,This is the first time I have completed this survey,46,Female,29,0,1,1,1
R_2UhgMWaxBRrgU7v,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,43,Female,15,0,0,0,1
R_W9iNRlJTBcxMbuN,7,Option B,100,Because of a printing error,No,This is the first time I have completed this survey,20,Male,18,1,0,1,1
R_2tnIhCyVQorZFAj,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,21,Male,11,0,0,0,1
R_1Idh56jnEWdoHx7,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,47,Female,23,0,0,0,1
R_3nN01A17oN6b2rw,7,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,29,Male,29,0,0,0,0
R_3khRZBoa2spP5vx,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,22,Female,38,0,0,0,1
R_PNXeyUW6SpA1HxL,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,30,Male,54,0,0,0,1
R_28B6YOHEIUEv81b,8,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,19,Female,18,0,0,0,1
R_1JCsKPBQ0GxBntV,30,Option B,100,I don't know,No,This is the first time I have completed this survey,19,Female,29,1,1,1,1
R_vVOs1gKVYiU0XQJ,30,Option B,10,Because of a typo,No,This is the first time I have completed this survey,30,Female,38,0,1,1,1
R_3etzwWRvd8gMH0u,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,43,Female,11,0,0,0,1
R_3GD7a7tRWzwkwkl,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,24,Male,15,0,0,0,1
R_3QWpBk0v0yUNCpj,10,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,41,Male,23,0,0,0,0
R_2XbsSQn6sXALGju,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,54,0,0,0,1
R_SP2hrW3in6B2wzT,3,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,40,Male,18,0,0,0,1
R_3hAQkycBn9vjkwu,20,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,21,Female,15,0,0,0,1
R_8HyxExaL9LLVIrL,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,25,Male,13,0,0,0,1
R_3M3XLpiOBulWbiT,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,42,Female,38,0,0,0,1
R_1SoV1Y1aYUClCSd,3,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,11,0,0,0,1
R_2OT74cTB4RvT8he,30,Option B,10,Because of a problem loading the text,Yes,This is the first time I have completed this survey,62,Female,18,0,1,1,0
R_3rV6q4gX3gbQSgi,7,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,22,Female,54,0,0,0,1
R_2zcmWhvTA15VVyX,5,Option B,10,Other,No,This is the first time I have completed this survey,26,Female,23,0,1,1,1
R_3aqoK6UzEhCbz69,7,Option B,Other,Because of a printing error,No,This is the first time I have completed this survey,27,Female,23,1,0,1,1
R_2Ey5P9doVHCmraS,7,Option B,0,Because of a printing error,No,This is the first time I have completed this survey,22,Female,15,1,0,1,1
R_RC4V82BxTTnDPFv,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,32,Male,29,0,0,0,1
R_1d5AT34Sdg9NCDz,60,Option B,10,Because of a printing error,Yes,This is the first time I have completed this survey,30,Female,54,0,0,0,0
R_1ItI15VYTm8pOyk,7,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,20,Female,13,0,0,0,1
R_234v8CK5kRCUi9A,14,Option B,10,Because of a problem loading the text,Don't know,This is the first time I have completed this survey,21,Female,38,0,1,1,0
R_2bW5mYIprUYRekl,10,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,19,Male,11,0,0,0,1
R_1KlOqI8ABQoOywP,30,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,45,Female,29,0,0,0,1
R_vIwsna4CDIgw0db,30,Option A,10,Because of a printing error,No,This is the first time I have completed this survey,34,Female,15,0,0,0,1
R_3QPGOyrV3O7kgk9,5,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,25,Female,18,0,0,0,1
R_2TLSj8XZ0ne9yum,14,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,32,Male,38,0,0,0,1
R_10wKBBodXfGqkyc,2,Option B,10,Because of a printing error,No,This is the first time I have completed this survey,26,Male,13,0,0,0,1
