pub_id,first_author,year_of_publication,title_of_article,outcome_num,paper_section,sample_code,task_name,task_type,domain_frame,incentivization,total_n,young_total_n,middle_total_n,old_total_n,n_female,young_n_female,middle_n_female,old_n_female,n_male,young_n_male,middle_n_male,old_n_male,prop_female,young_prop_female,middle_prop_female,old_prop_female,prop_male,young_prop_male,middle_prop_male,old_prop_male,mean_age,young_mean_age,middle_mean_age,old_mean_age,age_min,young_age_min,middle_age_min,old_age_min,age_max,young_age_max,middle_age_max,old_age_max,sd_age,young_sd_age,middle_sd_age,old_sd_age,se_age,young_se_age,middle_se_age,old_se_age,dv_units,dv_description,dv_correlation,dv_young_mean,dv_young_sd,dv_young_se,dv_middle_mean,dv_middle_sd,dv_middle_se,dv_old_mean,dv_old_sd,dv_old_se,dv_name_of_other_stats_output,dv_other_stats_output,dv_summary_stats_in_figure,dv_type_of_comparison,source_of_outcome
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",1,single,Sample 1,Probability-Associated Gambling Task,description,gain,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .125. Plus 20 trials,NA,0.24,0.66,NA,NA,NA,NA,0.25,0.62,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",2,single,Sample 1,Probability-Associated Gambling Task,description,gain,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .375. Plus 20 trials,NA,0.52,1,NA,NA,NA,NA,0.65,1.08,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",3,single,Sample 1,Probability-Associated Gambling Task,description,gain,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .625. Plus 20 trials,NA,3.33,1.47,NA,NA,NA,NA,3.87,1.36,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",4,single,Sample 1,Probability-Associated Gambling Task,description,gain,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .875. Plus 20 trials,NA,4.64,1.03,NA,NA,NA,NA,4.67,0.71,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",5,single,Sample 1,Probability-Associated Gambling Task,description,loss,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .125. Minus 20 trials,NA,0.33,0.69,NA,NA,NA,NA,0.23,0.73,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",6,single,Sample 1,Probability-Associated Gambling Task,description,loss,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .375. Minus 20 trials,NA,0.64,1.08,NA,NA,NA,NA,0.85,1.23,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",7,single,Sample 1,Probability-Associated Gambling Task,description,loss,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .625. Minus 20 trials,NA,3.85,1.46,NA,NA,NA,NA,3.85,1.27,NA,NA,NA,NA,extreme group (m + sd),directly from article
11,Zamarian,2008,"Normal aging affects decisions under ambiguity, but not decisions under risk",8,single,Sample 1,Probability-Associated Gambling Task,description,loss,hypothetical,85,33,NA,52,NA,22,NA,34,NA,11,NA,18,NA,0.6666666666666666,NA,0.6538461538461539,NA,NA,NA,NA,NA,36.1,NA,69.3,NA,18,NA,55,NA,54,NA,88,NA,13.7,NA,7,NA,NA,NA,NA,Frequency of gambles,Number of trials the gamble was chosen when p = .875. Minus 20 trials,NA,4.76,0.66,NA,NA,NA,NA,4.6,0.87,NA,NA,NA,NA,extreme group (m + sd),directly from article
12,Wolfe,2017,Instant gratification: temporal discounting and self-employment,1,Single,Sample 1,Scenario-Based Measure Of Risk Taking,description,gain,hypothetical,13198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9217,NA,NA,NA,15,NA,NA,NA,64,NA,NA,NA,11.7042,NA,NA,NA,NA,NA,NA,NA,Risk tolerance,Score calculated based on choices made across scenarios,-0.0421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,1,Study 1,Sample 1,Tom’s Mixed-Gamble Task.,description,mixed,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the gamble in Self trials,NA,0.48,0.21,NA,NA,NA,NA,0.55,0.17,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,2,Study 1,Sample 1,Cups Task,description,gain,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Gain - Advantage trials,NA,0.92,0.14,NA,NA,NA,NA,0.85,0.21,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,3,Study 1,Sample 1,Cups Task,description,gain,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Gain - Equal trials,NA,0.62,0.29,NA,NA,NA,NA,0.57,0.27,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,4,Study 1,Sample 1,Cups Task,description,gain,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Gain - Disadvantage trials,NA,0.19,0.25,NA,NA,NA,NA,0.31,0.29,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,5,Study 1,Sample 1,Cups Task,description,loss,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Loss - Advantage trials,NA,0.88,0.19,NA,NA,NA,NA,0.78,0.25,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,6,Study 1,Sample 1,Cups Task,description,loss,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Loss - Equal trials,NA,0.56,0.28,NA,NA,NA,NA,0.58,0.28,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,7,Study 1,Sample 1,Cups Task,description,loss,incentivized,88,39,NA,49,NA,25,NA,28,NA,NA,NA,NA,NA,0.6410256410256411,NA,0.5714285714285714,NA,NA,NA,NA,NA,22.79,NA,70.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,4.01,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the risky option in Self -Loss - Disadvantage trials,NA,0.15,0.19,NA,NA,NA,NA,0.34,0.32,NA,NA,NA,NA,extreme group (m + sd),directly from article
15,Pornpattananangkul,2018,Choosing for You: Diminished Self–Other Discrepancies in Financial Decisions Under Risk in the Elderly,8,Study 2,Sample 1,Sokol-Hessner’s Mixed-Gamble Task,description,mixed,incentivized,103,59,NA,44,NA,36,NA,26,NA,NA,NA,NA,NA,0.6101694915254238,NA,0.5909090909090909,NA,NA,NA,NA,NA,22.07,NA,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,4.23,NA,NA,NA,NA,Proportion risky choice,Proportion of selecting the gamble in Self trials,NA,0.4,0.17,NA,NA,NA,NA,0.48,0.21,NA,NA,NA,NA,extreme group (m + sd),directly from article
16,Kim,2022,Game experience leads to improvement in cognitive functioning of the early middle-aged adults in contrast with the young-aged adults,1,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,unknown,34,20,NA,14,NA,10,NA,6,NA,10,NA,8,NA,0.5,NA,0.42857142857142855,NA,NA,NA,NA,NA,21.55,NA,43.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,NA,5.31,NA,NA,NA,NA,Adjusted pumps,Number of average clicks in success trials in the non-game group of participants,NA,35.71,3.33,NA,NA,NA,NA,32.19,3.83,NA,NA,NA,NA,extreme group (m + sd),directly from article
17,Herman,2018,Risk-Taking and Impulsivity: The Role of Mood States and Interoception,1,single,Sample 1,Probability   Discounting   Task,description,gain,hypothetical,568,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,0.7869718309859155,NA,NA,NA,NA,NA,NA,NA,22.83,NA,NA,NA,18,NA,NA,NA,45,NA,NA,NA,6.06,NA,NA,NA,NA,NA,NA,NA,h-parameter,Parameter which  reflects  a  degree of   probability   discounting   at   the   indifference   between   two outcomes. Large h values indicate discounting of probabilistic rewards,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,1,single,Sample 1,Cups Task,description,gain,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Risk Advantageous Gain condition,NA,7.07,1.84,NA,NA,NA,NA,4.76,3.24,NA,NA,NA,NA,extreme group (m + sd),directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,2,single,Sample 1,Cups Task,description,gain,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Equal Risk Gain condition,NA,4.78,1.75,NA,NA,NA,NA,4.11,2.84,NA,NA,NA,NA,extreme group (m + sd),directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,3,single,Sample 1,Cups Task,description,gain,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Risk Disadvantageous Gain condition,NA,3.09,2.25,NA,NA,NA,NA,3.62,2.64,NA,NA,NA,NA,extreme group (m + sd),directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,4,single,Sample 1,Cups Task,description,loss,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Risk Advantageous Loss condition,NA,5.26,2.38,NA,NA,NA,NA,4.74,2.7,NA,NA,NA,NA,extreme group (m + sd),directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,5,single,Sample 1,Cups Task,description,loss,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Equal Risk Loss condition,NA,5.85,2.46,NA,NA,NA,NA,4.76,2.99,NA,NA,NA,NA,extreme group (m + sd),directly from article
23,Chen,2014,Age Differences in Adaptive Decision Making: The Role of Numeracy,6,single,Sample 1,Cups Task,description,loss,unknown,84,46,NA,38,NA,14,NA,27,NA,NA,NA,NA,NA,0.30434782608695654,NA,0.7105263157894737,NA,NA,NA,NA,NA,19.37,NA,75.46,NA,18,NA,61,NA,24,NA,89,NA,1.42,NA,7.98,NA,NA,NA,NA,Number of risky choices,Number of risky choices in the Risk Disadvantageous Loss condition,NA,5.89,3.26,NA,NA,NA,NA,5.49,3.47,NA,NA,NA,NA,extreme group (m + sd),directly from article
25,Grover,2021,The moderating effects of emotional stability on the relationship between the Dark Triad and different measures of risk-taking,1,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,NA,NA,NA,19,NA,NA,NA,63,NA,NA,NA,10.42,NA,NA,NA,NA,NA,NA,NA,Adjusted pumps,Average number of pumps for the balloons that did not explode,-0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
25,Grover,2021,The moderating effects of emotional stability on the relationship between the Dark Triad and different measures of risk-taking,2,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,NA,NA,NA,19,NA,NA,NA,63,NA,NA,NA,10.42,NA,NA,NA,NA,NA,NA,NA,Explosions,Number of explosions,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
25,Grover,2021,The moderating effects of emotional stability on the relationship between the Dark Triad and different measures of risk-taking,3,Single,Sample 1,Lottery 1,description,mixed,hypothetical,139,NA,NA,NA,84,NA,NA,NA,55,NA,NA,NA,0.60431654676259,NA,NA,NA,NA,NA,NA,NA,28.82,NA,NA,NA,19,NA,NA,NA,63,NA,NA,NA,10.42,NA,NA,NA,NA,NA,NA,NA,Risk level,How much they would invest in a particular scenario,-0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
25,Grover,2021,The moderating effects of emotional stability on the relationship between the Dark Triad and different measures of risk-taking,4,Single,Sample 1,Lottery 2,description,mixed,hypothetical,139,NA,NA,NA,84,NA,NA,NA,55,NA,NA,NA,0.60431654676259,NA,NA,NA,NA,NA,NA,NA,28.82,NA,NA,NA,19,NA,NA,NA,63,NA,NA,NA,10.42,NA,NA,NA,NA,NA,NA,NA,Risk level,How much they would invest in a particular scenario,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,age continuous,directly from article
27,Koscielniak,2016,Effects of Age and Initial Risk Perception on Balloon Analog Risk Task: The Mediating Role of Processing Speed and Need for Cognitive Closure,1,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,158,81,NA,77,NA,81,NA,77,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,19.86,NA,69.19,NA,18,NA,65,NA,23,NA,80,NA,1,NA,4.32,NA,NA,NA,NA,Adjusted pumps,Average number of pumps  on  the  balloons that did not  explode. For all types of first trials,NA,8.77,NA,0.23,NA,NA,NA,7.18,NA,0.24,NA,NA,NA,extreme group (m + sd),directly from article
27,Koscielniak,2016,Effects of Age and Initial Risk Perception on Balloon Analog Risk Task: The Mediating Role of Processing Speed and Need for Cognitive Closure,2,Single,Sample 1,Balloon Analogue Risk Task,experience,gain,incentivized,158,81,NA,77,NA,81,NA,77,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,19.86,NA,69.19,NA,18,NA,65,NA,23,NA,80,NA,1,NA,4.32,NA,NA,NA,NA,Explosions,Number of explosions. For all types of first trials,NA,9.35,NA,0.41,NA,NA,NA,7.23,NA,0.42,NA,NA,NA,extreme group (m + sd),directly from article
28,Sullivan,2021,Associations between phasic arousal and decisions under risk in younger and older adults,1,Single,Sample 1,Risky Choice Task,description,gain,incentivized,81,39,NA,42,NA,20,NA,22,NA,NA,NA,NA,NA,0.5128205128205128,NA,0.5238095238095238,NA,NA,NA,NA,NA,22.51,NA,68.12,NA,18,NA,60,NA,32,NA,89,NA,3.7,NA,6.36,NA,NA,NA,NA,Proportion risky choice,Proportion of low probability decisions in the Baseline condition,NA,0.34,NA,0.03,NA,NA,NA,0.42,NA,0.03,NA,NA,NA,extreme group (m + sd),directly from article
29,Kurnianingsih,2015,"Aging and loss decision making: increased risk aversion and decreased use of maximizing information, with correlated rationality and value maximization",1,Single,Sample 1,Uncertainty-Gains Task,description,gain,incentivized,79,52,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6129,NA,0.5676,NA,NA,NA,NA,NA,21.9,NA,68.66,NA,19,NA,61,NA,26,NA,80,NA,1.69,NA,5.15,NA,NA,NA,NA,Premium value,Premium measures the degree to which the participant subjectively modifies the absolute expected value of a gamble due to outcome uncertainty. Risk trials,NA,0.65,0.66,NA,NA,NA,NA,0.55,0.61,NA,NA,NA,NA,extreme group (m + sd),directly from article
29,Kurnianingsih,2015,"Aging and loss decision making: increased risk aversion and decreased use of maximizing information, with correlated rationality and value maximization",2,Single,Sample 1,Uncertainty-Losses Task,description,loss,incentivized,95,60,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6129,NA,0.5676,NA,NA,NA,NA,NA,21.9,NA,68.66,NA,19,NA,61,NA,26,NA,80,NA,1.69,NA,5.15,NA,NA,NA,NA,Premium value,The premium value measures the degree to which the participant subjectively modifies the absolute expected value of a gamble due to outcome uncertainty. Risk trials.,NA,0.22,0.59,NA,NA,NA,NA,-0.17,0.31,NA,NA,NA,NA,extreme group (m + sd),directly from article
