reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,dec_diff,0,0.014,0.014,-0.029,0.029,0.989,0.7
2,intrcpt,-0.008,0.13,-0.061,-0.297,0.281,0.953,0.7
2,prop_female_gen,-0.031,0.237,-0.129,-0.568,0.507,0.9,0.7
3,cor_typeCOR,-0.017,0.019,-0.895,-0.055,0.022,0.381,0.7
3,cor_typeRPB,-0.029,0.034,-0.872,-0.098,0.039,0.389,0.7
4,study_designcontinuous,-0.038,0.02,-1.893,-0.08,0.005,0.078,0.7
4,study_designextreme_group,-0.018,0.028,-0.663,-0.074,0.038,0.511,0.7
5,incentivizationhypothetical,-0.024,0.024,-0.988,-0.076,0.027,0.337,0.7
5,incentivizationincentivized,0.002,0.028,0.085,-0.054,0.059,0.933,0.7
6,domaingain,-0.054,0.023,-2.356,-0.1,-0.008,0.023,0.7
6,domainloss,0.018,0.045,0.404,-0.075,0.112,0.69,0.7
6,domainmixed,0.013,0.036,0.359,-0.063,0.089,0.724,0.7
7,task_typedescription,-0.015,0.024,-0.622,-0.064,0.034,0.537,0.7
7,task_typeexperience,-0.051,0.039,-1.295,-0.135,0.033,0.215,0.7
8,study_contextin-person,-0.03,0.026,-1.155,-0.082,0.022,0.254,0.7
8,study_contextonline,-0.004,0.023,-0.164,-0.054,0.046,0.873,0.7
1,intrcpt,-0.017,0.082,-0.212,-0.188,0.153,0.834,0.8
1,dec_diff,0,0.014,0.003,-0.029,0.029,0.997,0.8
2,intrcpt,-0.008,0.13,-0.058,-0.297,0.282,0.955,0.8
2,prop_female_gen,-0.031,0.238,-0.131,-0.571,0.509,0.899,0.8
3,cor_typeCOR,-0.017,0.018,-0.909,-0.055,0.022,0.373,0.8
3,cor_typeRPB,-0.029,0.034,-0.863,-0.098,0.04,0.394,0.8
4,study_designcontinuous,-0.037,0.02,-1.888,-0.08,0.005,0.079,0.8
4,study_designextreme_group,-0.018,0.028,-0.659,-0.074,0.038,0.513,0.8
5,incentivizationhypothetical,-0.024,0.024,-0.99,-0.075,0.027,0.336,0.8
5,incentivizationincentivized,0.002,0.028,0.083,-0.054,0.059,0.934,0.8
6,domaingain,-0.054,0.023,-2.358,-0.1,-0.008,0.023,0.8
6,domainloss,0.018,0.045,0.398,-0.076,0.112,0.695,0.8
6,domainmixed,0.013,0.036,0.367,-0.062,0.089,0.718,0.8
7,task_typedescription,-0.015,0.024,-0.616,-0.064,0.034,0.541,0.8
7,task_typeexperience,-0.051,0.039,-1.299,-0.135,0.033,0.214,0.8
8,study_contextin-person,-0.03,0.026,-1.155,-0.082,0.022,0.254,0.8
8,study_contextonline,-0.004,0.023,-0.156,-0.053,0.046,0.879,0.8
1,intrcpt,-0.017,0.082,-0.201,-0.188,0.155,0.843,0.9
1,dec_diff,-0,0.014,-0.008,-0.029,0.029,0.993,0.9
2,intrcpt,-0.007,0.131,-0.055,-0.298,0.283,0.957,0.9
2,prop_female_gen,-0.032,0.239,-0.133,-0.574,0.511,0.898,0.9
3,cor_typeCOR,-0.017,0.018,-0.923,-0.055,0.021,0.366,0.9
3,cor_typeRPB,-0.029,0.034,-0.855,-0.098,0.04,0.399,0.9
4,study_designcontinuous,-0.037,0.02,-1.883,-0.079,0.005,0.08,0.9
4,study_designextreme_group,-0.018,0.028,-0.657,-0.075,0.038,0.515,0.9
5,incentivizationhypothetical,-0.024,0.024,-0.99,-0.075,0.027,0.336,0.9
5,incentivizationincentivized,0.002,0.028,0.081,-0.054,0.058,0.936,0.9
6,domaingain,-0.054,0.023,-2.362,-0.1,-0.008,0.023,0.9
6,domainloss,0.018,0.045,0.392,-0.077,0.112,0.699,0.9
6,domainmixed,0.014,0.036,0.375,-0.062,0.089,0.712,0.9
7,task_typedescription,-0.015,0.024,-0.611,-0.064,0.034,0.545,0.9
7,task_typeexperience,-0.051,0.04,-1.302,-0.136,0.033,0.213,0.9
8,study_contextin-person,-0.03,0.026,-1.156,-0.083,0.022,0.254,0.9
8,study_contextonline,-0.003,0.023,-0.147,-0.053,0.046,0.885,0.9
