study_label,year_of_publication,title_of_article,author_extract,study_context
Skylark study 1b sample 5 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 1b sample 6 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 1 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 2 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 3 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 4 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 5 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 6 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 7 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2a sample 8 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 1 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 2 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 3 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 4 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 5 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 6 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 7 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
Skylark study 2b sample 8 (2020),2020,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,Bagaini,online
