pref,pub_id,study_id,study_label,study_es_id,es_id,first_author,year_of_publication,title_of_article,paper_section,task_name,task_type,domain_frame,incentivization,dv_units,dv_description,sample_code,total_n,young_total_n,old_total_n,n_incl_es,prop_female,young_prop_female,old_prop_female,age_min,mean_age,age_max,young_age_min,young_mean_age,young_age_max,old_age_min,old_mean_age,old_age_max,dec_diff,dv_young_mean,dv_young_sd,dv_old_mean,dv_old_sd,dv_correlation,cor_yi,cor_vi,cor_type,study_design,reversed_es,source_of_outcome,author_extract
time,14,7,Löckenhoff (2020),2,21,Löckenhoff,2020,"Age Differences in Intertemporal Choice: The Role of Task Type, Outcome Characteristics, and Covariates",single,Sequence-Construction Task,description,gain,hypothetical,Sequence trend scores,Dichotomized sequence trend scores for gains,sample 1,287,NA,NA,287,0.52,NA,NA,18,48.7,87,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,-0.2334453638559054,-0.2334453638559054,0.0031257916735340664,COR,continuous,0,directly from article,Bagaini
time,3,2,Ciaramelli (2021),1,23,Ciaramelli,2021,The role of ventromedial prefrontal cortex in reward valuation and future thinking during intertemporal choice,single,Delay-Discounting Task,description,gain,hypothetical,Area Under the Curve,The degree to which participants discounted delayed rewards. Standard condition. Small Reward. Healthy controls.,sample 1,41,NA,NA,41,0.14634146341463414,NA,NA,40,56.34146341463415,70,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0.07873884275074441,0.07873884275074441,0.02469097067177552,COR,continuous,0,raw data,Bagaini
time,3,2,Ciaramelli (2021),2,24,Ciaramelli,2021,The role of ventromedial prefrontal cortex in reward valuation and future thinking during intertemporal choice,single,Delay-Discounting Task,description,gain,hypothetical,Area Under the Curve,The degree to which participants discounted delayed rewards. Standard condition. Large Reward. Healthy controls.,sample 1,41,NA,NA,41,0.14634146341463414,NA,NA,40,56.34146341463415,70,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0.21889779777756244,0.21889779777756244,0.022661586871868,COR,continuous,0,raw data,Bagaini
time,4,8,Martin (2019),1,25,Martin,2019,The appropriate response of Spanish Gitanos: short-run orientation beyond current socio-economic status,single,Multiple-Price-List Task,description,gain,hypothetical,SS choices,Number of larger-later (LL) choices in the task,sample 1,151,NA,NA,151,0.36423841059602646,NA,NA,17,47.16556291390729,82,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,-0.11219011203229301,-0.11219011203229301,0.006499901203723649,COR,continuous,0,raw data,Bagaini
time,5,11,Seaman sample 1 (2021),1,26,Seaman,2021,Decision Making across Adulthood during Physical Distancing,single,Delay-Discounting Task,description,gain,hypothetical,SS choices,Proportion of the choices for the sooner monetary reward in the primary sample,sample 1,233,NA,NA,233,0.5021459227467812,NA,NA,18,52.532188841201716,86,NA,NA,NA,NA,NA,NA,6.800000000000001,NA,NA,NA,NA,0.09469078787164208,0.09469078787164208,0.004233395279020143,COR,continuous,0,raw data,Bagaini
time,5,12,Seaman sample 2 (2021),1,27,Seaman,2021,Decision Making across Adulthood during Physical Distancing,single,Delay-Discounting Task,description,gain,hypothetical,SS choices,Proportion of the choices for the sooner monetary reward in the replication sample,sample 2,243,NA,NA,243,0.5061728395061729,NA,NA,18,51.97530864197531,90,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,0.09975642915348673,0.09975642915348673,0.004050398094857576,COR,continuous,0,raw data,Bagaini
time,8,16,Veillard (2020),1,28,Veillard,2020,Temporal discounting does not influence body mass index,single,Kirby’s Monetary Choice Questionnaire,description,gain,hypothetical,Discount rate,Discount rate for money rewards (k_money),sample 1,381,NA,NA,381,0.6351706036745407,NA,NA,18,26.1994750656168,80,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,5.687441534470732e-4,5.687441534470732e-4,0.002631577244895475,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),1,29,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $13,sample 1,55,NA,NA,55,0.4727272727272727,NA,NA,20,34.236363636363635,71,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.20964027648760797,-0.20964027648760797,0.016926544954648657,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),2,30,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $18,sample 1,58,NA,NA,58,0.43103448275862066,NA,NA,21,36.3448275862069,66,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,-0.11318178119338128,-0.11318178119338128,0.017097260839882836,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),3,31,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $23,sample 1,58,NA,NA,58,0.3448275862068966,NA,NA,21,36.758620689655174,63,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,-0.2546333511319657,-0.2546333511319657,0.015342591190109897,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),4,32,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $28,sample 1,56,NA,NA,56,0.35714285714285715,NA,NA,20,35.232142857142854,72,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,-0.09030750711745487,-0.09030750711745487,0.01788646581115163,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),5,33,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $33,sample 1,54,NA,NA,54,0.4074074074074074,NA,NA,20,34.2962962962963,57,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,-0.08297492641564311,-0.08297492641564311,0.018609013663634336,COR,continuous,0,raw data,Bagaini
time,7,13,Skylark study 1b (2021),6,34,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $38,sample 1,56,NA,NA,56,0.42857142857142855,NA,NA,19,32.982142857142854,59,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,-0.23575775708877295,-0.23575775708877295,0.016216834319021108,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),1,35,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $11,sample 1,109,NA,NA,109,0.6880733944954128,NA,NA,18,33.76146788990825,67,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,-0.008787779482721603,-0.008787779482721603,0.009257829220622567,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),2,36,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $13,sample 1,106,NA,NA,106,0.6886792452830188,NA,NA,18,35.301886792452834,69,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.19846474417515544,-0.19846474417515544,0.008788332621388163,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),3,37,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $15,sample 1,110,NA,NA,110,0.7181818181818181,NA,NA,18,35.445454545454545,69,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.12525300213037677,-0.12525300213037677,0.008888710955301336,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),4,38,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $18,sample 1,110,NA,NA,110,0.6909090909090909,NA,NA,18,35.64545454545455,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,-0.2853587649641146,-0.2853587649641146,0.007741023250476221,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),5,39,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $23,sample 1,100,NA,NA,100,0.75,NA,NA,19,33.84,65,NA,NA,NA,NA,NA,NA,4.6000000000000005,NA,NA,NA,NA,-0.18580530942464657,-0.18580530942464657,0.009415602563984988,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),6,40,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $29,sample 1,95,NA,NA,95,0.5684210526315789,NA,NA,18,36.34736842105263,82,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,-0.1974606584790094,-0.1974606584790094,0.009824881407455412,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),7,41,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $38,sample 1,104,NA,NA,104,0.6346153846153846,NA,NA,18,33.95192307692308,73,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,0.07871866267249324,0.07871866267249324,0.009588787791173364,COR,continuous,0,raw data,Bagaini
time,7,14,Skylark study 2b (2021),8,42,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $54,sample 1,99,NA,NA,99,0.6868686868686869,NA,NA,18,32.38383838383838,66,NA,NA,NA,NA,NA,NA,4.800000000000001,NA,NA,NA,NA,-0.15288374932378332,-0.15288374932378332,0.009732647307352831,COR,continuous,0,raw data,Bagaini
