pref,pub_id,study_id,study_label,study_es_id,es_id,first_author,year_of_publication,title_of_article,paper_section,task_name,task_type,domain,incentivization,dv_units,dv_description,sample_code,total_n,young_total_n,old_total_n,n_incl_es,prop_female,young_prop_female,old_prop_female,age_min,mean_age,age_max,young_age_min,young_mean_age,young_age_max,old_age_min,old_mean_age,old_age_max,dec_diff,dv_young_mean,dv_young_sd,dv_old_mean,dv_old_sd,dv_correlation,cor_yi,cor_vi,cor_type,study_design,reversed_es,source_of_outcome,author_extract
time,43,2,Ciaramelli (2021),2,21,Ciaramelli,2021,The role of ventromedial prefrontal cortex in reward valuation and future thinking during intertemporal choice,single,Delay-Discounting Task,description,gain,hypothetical,Area Under the Curve,The degree to which participants discounted delayed rewards. Standard condition. Large Reward. Healthy controls.,sample 1,41,NA,NA,41,0.14634146341463414,NA,NA,40,56.34146341463415,70,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0.21889779777756244,0.21889779777756244,0.022661586871868,COR,continuous,0,raw data,Bagaini
time,41,8,Martin (2019),1,22,Martin,2019,The appropriate response of Spanish Gitanos: short-run orientation beyond current socio-economic status,single,Multiple-Price-List Task,description,gain,hypothetical,SS choices,Number of larger-later (LL) choices in the task,sample 1,151,NA,NA,151,0.36423841059602646,NA,NA,17,47.16556291390729,82,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,-0.11219011203229301,-0.11219011203229301,0.006499901203723649,COR,continuous,0,raw data,Bagaini
time,9,11,Seaman sample 1 (2021),1,23,Seaman,2021,Decision Making across Adulthood during Physical Distancing,single,Delay-Discounting Task,description,gain,hypothetical,SS choices,Proportion of the choices for the sooner monetary reward in the primary sample,sample 1,233,NA,NA,233,0.5021459227467812,NA,NA,18,52.532188841201716,86,NA,NA,NA,NA,NA,NA,6.800000000000001,NA,NA,NA,NA,0.09469078787164208,0.09469078787164208,0.004233395279020143,COR,continuous,0,raw data,Bagaini
time,9,12,Seaman sample 2 (2021),1,24,Seaman,2021,Decision Making across Adulthood during Physical Distancing,single,Delay-Discounting Task,description,gain,hypothetical,SS choices,Proportion of the choices for the sooner monetary reward in the replication sample,sample 2,243,NA,NA,243,0.5061728395061729,NA,NA,18,51.97530864197531,90,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,0.09975642915348673,0.09975642915348673,0.004050398094857576,COR,continuous,0,raw data,Bagaini
time,39,16,Veillard (2020),1,25,Veillard,2020,Temporal discounting does not influence body mass index,single,Kirby’s Monetary Choice Questionnaire,description,gain,hypothetical,Discount rate,Discount rate for money rewards (k_money),sample 1,381,NA,NA,381,0.6351706036745407,NA,NA,18,26.1994750656168,80,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,5.687441534470732e-4,5.687441534470732e-4,0.002631577244895475,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),1,26,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $13,sample 1,55,NA,NA,55,0.4727272727272727,NA,NA,20,34.236363636363635,71,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.20964027648760797,-0.20964027648760797,0.016926544954648657,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),2,27,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $18,sample 1,58,NA,NA,58,0.43103448275862066,NA,NA,21,36.3448275862069,66,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,-0.11318178119338128,-0.11318178119338128,0.017097260839882836,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),3,28,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $23,sample 1,58,NA,NA,58,0.3448275862068966,NA,NA,21,36.758620689655174,63,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,-0.2546333511319657,-0.2546333511319657,0.015342591190109897,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),4,29,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $28,sample 1,56,NA,NA,56,0.35714285714285715,NA,NA,20,35.232142857142854,72,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,-0.09030750711745487,-0.09030750711745487,0.01788646581115163,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),5,30,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $33,sample 1,54,NA,NA,54,0.4074074074074074,NA,NA,20,34.2962962962963,57,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,-0.08297492641564311,-0.08297492641564311,0.018609013663634336,COR,continuous,0,raw data,Bagaini
time,42,13,Skylark study 1b (2021),6,31,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 1b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $38,sample 1,56,NA,NA,56,0.42857142857142855,NA,NA,19,32.982142857142854,59,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,-0.23575775708877295,-0.23575775708877295,0.016216834319021108,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),1,32,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $11,sample 1,109,NA,NA,109,0.6880733944954128,NA,NA,18,33.76146788990825,67,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,-0.008787779482721603,-0.008787779482721603,0.009257829220622567,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),2,33,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $13,sample 1,106,NA,NA,106,0.6886792452830188,NA,NA,18,35.301886792452834,69,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.19846474417515544,-0.19846474417515544,0.008788332621388163,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),3,34,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $15,sample 1,110,NA,NA,110,0.7181818181818181,NA,NA,18,35.445454545454545,69,NA,NA,NA,NA,NA,NA,5.1000000000000005,NA,NA,NA,NA,-0.12525300213037677,-0.12525300213037677,0.008888710955301336,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),4,35,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $18,sample 1,110,NA,NA,110,0.6909090909090909,NA,NA,18,35.64545454545455,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,-0.2853587649641146,-0.2853587649641146,0.007741023250476221,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),5,36,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $23,sample 1,100,NA,NA,100,0.75,NA,NA,19,33.84,65,NA,NA,NA,NA,NA,NA,4.6000000000000005,NA,NA,NA,NA,-0.18580530942464657,-0.18580530942464657,0.009415602563984988,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),6,37,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $29,sample 1,95,NA,NA,95,0.5684210526315789,NA,NA,18,36.34736842105263,82,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,-0.1974606584790094,-0.1974606584790094,0.009824881407455412,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),7,38,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $38,sample 1,104,NA,NA,104,0.6346153846153846,NA,NA,18,33.95192307692308,73,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,0.07871866267249324,0.07871866267249324,0.009588787791173364,COR,continuous,0,raw data,Bagaini
time,42,14,Skylark study 2b (2021),8,39,Skylark,2021,The delay-reward heuristic: What do people expect in intertemporal choice tasks?,study 2b,Intertemporal Choice Task,description,gain,hypothetical,Number of days,Number of days associated to an outcome of $54,sample 1,99,NA,NA,99,0.6868686868686869,NA,NA,18,32.38383838383838,66,NA,NA,NA,NA,NA,NA,4.800000000000001,NA,NA,NA,NA,-0.15288374932378332,-0.15288374932378332,0.009732647307352831,COR,continuous,0,raw data,Bagaini
time,32,44,Roalf  (2012),1,40,Roalf,2012,Roalf 2012,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,NA,29,25,54,NA,NA,NA,NA,NA,NA,NA,30.14,NA,NA,71.3,NA,4.116,NA,NA,NA,NA,NA,0.14378292432655704,0.018246141752059547,RPB,extreme_group,NA,NA,Seaman
time,4,18,Bauer  (2010),1,41,Bauer,2010,Bauer 2010,Single,NA,description,NA,hypothetical,proportion,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,NA,291,241,532,NA,NA,NA,NA,NA,NA,20,24.017,29,30,39.909,74,1.5892,NA,NA,NA,NA,NA,0.0625902272860312,0.0018683575783714922,RPB,extreme_group,NA,NA,Seaman
time,11,23,Eppinger  (2012),1,42,Eppinger,2012,Eppinger 2012,Single,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,NA,15,15,30,NA,NA,NA,NA,NA,NA,18,20.9,28,65,69.7,80,4.880000000000001,NA,NA,NA,NA,NA,-0.710910429348796,0.006381986140228454,RPB,extreme_group,NA,NA,Seaman
time,17,29,Halfmann  (2016),1,43,Halfmann,2016,Halfmann 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,NA,77,36,113,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,77,NA,5.6000000000000005,NA,NA,NA,NA,NA,-0.10392614738909413,0.008767004866483656,RPB,extreme_group,NA,NA,Seaman
time,7,21,Buono  (2015),1,44,Buono,2015,Buono 2015,Single,NA,description,NA,hypothetical,Parameter,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,NA,20,18,38,NA,NA,NA,NA,NA,NA,18,22.5,27,45,50,55,2.75,NA,NA,NA,NA,NA,0.34789942298637144,0.0200935044693298,RPB,extreme_group,NA,NA,Seaman
time,26,36,Liu  (2016),1,45,Liu,2016,Liu 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,351,192,543,NA,NA,NA,NA,NA,NA,18,21.67,30,61,68.63,87,4.696,NA,NA,NA,NA,NA,0.16542361703107164,0.0017246346198402443,RPB,extreme_group,NA,NA,Seaman
time,26,36,Liu  (2016),2,46,Liu,2016,Liu 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,351,192,543,NA,NA,NA,NA,NA,NA,18,21.67,30,61,68.63,87,4.696,NA,NA,NA,NA,NA,0.16366077670593912,0.0017272022240632458,RPB,extreme_group,NA,NA,Seaman
time,26,36,Liu  (2016),3,47,Liu,2016,Liu 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,351,192,543,NA,NA,NA,NA,NA,NA,18,21.67,30,61,68.63,87,4.696,NA,NA,NA,NA,NA,0.16088861262232182,0.001731189113983302,RPB,extreme_group,NA,NA,Seaman
time,26,36,Liu  (2016),4,48,Liu,2016,Liu 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,351,192,543,NA,NA,NA,NA,NA,NA,18,21.67,30,61,68.63,87,4.696,NA,NA,NA,NA,NA,0.13604311568594474,0.001764103040194593,RPB,extreme_group,NA,NA,Seaman
time,46,53,Whelan  (2009),1,49,Whelan,2009,Whelan 2009,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,NA,16,10,26,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,73,NA,2.7,NA,NA,NA,NA,NA,0.24212785293750677,0.03575876218530281,RPB,extreme_group,NA,NA,Seaman
time,46,53,Whelan  (2009),2,50,Whelan,2009,Whelan 2009,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,NA,16,10,26,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,73,NA,2.7,NA,NA,NA,NA,NA,-0.03965857325664248,0.041500526546752854,RPB,extreme_group,NA,NA,Seaman
time,12,24,Eppinger  (2018),1,51,Eppinger,2018,Eppinger 2018,Single,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,NA,25,25,50,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,71.2,NA,4.640000000000001,NA,NA,NA,NA,NA,-0.1498433579542827,0.019675852422404935,RPB,extreme_group,NA,NA,Seaman
time,12,24,Eppinger  (2018),2,52,Eppinger,2018,Eppinger 2018,Single,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,NA,25,25,50,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,71.2,NA,4.640000000000001,NA,NA,NA,NA,NA,-0.21887026149473907,0.018414701857314357,RPB,extreme_group,NA,NA,Seaman
time,12,24,Eppinger  (2018),3,53,Eppinger,2018,Eppinger 2018,Single,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,NA,25,25,50,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,71.2,NA,4.640000000000001,NA,NA,NA,NA,NA,-0.5093014728439698,0.009885889104892869,RPB,extreme_group,NA,NA,Seaman
time,13,25,Garza  (2016),1,54,Garza,2016,Garza 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days/weeks/months/years. Condition: NA,Sample 1,NA,152,9,161,NA,NA,NA,NA,NA,NA,21,27.5,34,65,70.5,76,4.3,NA,NA,NA,NA,NA,-0.07771101628308541,0.006194580290457418,RPB,extreme_group,NA,NA,Seaman
time,25,35,Li  (2013),1,55,Li,2013,Li 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,173,163,336,NA,NA,NA,NA,NA,NA,18,24.76,29,60,66.39,82,4.162999999999999,NA,NA,NA,NA,NA,-0.06668756506820535,0.002960803338544839,RPB,extreme_group,NA,NA,Seaman
time,25,35,Li  (2013),2,56,Li,2013,Li 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,173,163,336,NA,NA,NA,NA,NA,NA,18,24.76,29,60,66.39,82,4.162999999999999,NA,NA,NA,NA,NA,-0.040085519052928426,0.0029819858467840686,RPB,extreme_group,NA,NA,Seaman
time,25,35,Li  (2013),3,57,Li,2013,Li 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,173,163,336,NA,NA,NA,NA,NA,NA,18,24.76,29,60,66.39,82,4.162999999999999,NA,NA,NA,NA,NA,-0.040902447247476124,0.0029814913399920074,RPB,extreme_group,NA,NA,Seaman
time,25,35,Li  (2013),4,58,Li,2013,Li 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,173,163,336,NA,NA,NA,NA,NA,NA,18,24.76,29,60,66.39,82,4.162999999999999,NA,NA,NA,NA,NA,-0.08919468654246371,0.0029347718611553676,RPB,extreme_group,NA,NA,Seaman
time,25,35,Li  (2013),5,59,Li,2013,Li 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,NA,173,163,336,NA,NA,NA,NA,NA,NA,18,24.76,29,60,66.39,82,4.162999999999999,NA,NA,NA,NA,NA,-0.1648739353091135,0.002794708778147557,RPB,extreme_group,NA,NA,Seaman
time,37,49,Sparrow Study 1 (2018),1,60,Sparrow,2018,Sparrow2018,Study 1,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,NA,32,30,62,NA,NA,NA,NA,NA,NA,18,25.28,35,65,70.57,85,4.528999999999999,NA,NA,NA,NA,NA,-0.4824673312388435,0.008631916701938833,RPB,extreme_group,NA,NA,Seaman
