reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
4,study_designextreme_group,0.104,0.078,1.342,-0.073,0.281,0.214,0.3
5,incentivizationhypothetical,0.114,0.082,1.393,-0.072,0.301,0.198,0.3
5,incentivizationincentivized,0.109,0.048,2.267,-0.006,0.223,0.059,0.3
6,study_contextin-person,0.121,0.056,2.151,-0.001,0.243,0.052,0.3
6,study_contextonline,0.086,0.098,0.882,-0.229,0.401,0.444,0.3
1,intrcpt,0.444,0.234,1.894,-0.103,0.992,0.097,0.4
1,dec_diff,-0.059,0.046,-1.277,-0.166,0.049,0.24,0.4
2,intrcpt,0.095,0.121,0.789,-0.389,0.579,0.507,0.4
2,prop_female_gen,0.032,0.257,0.126,-0.864,0.929,0.909,0.4
3,cor_typeCOR,0.054,0.075,0.725,-0.121,0.229,0.49,0.4
3,cor_typeRPB,0.17,0.05,3.374,0.053,0.287,0.011,0.4
4,study_designcontinuous,0.123,0.05,2.475,0.005,0.242,0.043,0.4
4,study_designextreme_group,0.103,0.078,1.331,-0.074,0.281,0.218,0.4
5,incentivizationhypothetical,0.113,0.082,1.382,-0.073,0.3,0.202,0.4
5,incentivizationincentivized,0.109,0.048,2.268,-0.006,0.223,0.059,0.4
6,study_contextin-person,0.121,0.056,2.143,-0.002,0.243,0.053,0.4
6,study_contextonline,0.085,0.097,0.879,-0.228,0.399,0.446,0.4
1,intrcpt,0.443,0.234,1.891,-0.104,0.991,0.098,0.5
1,dec_diff,-0.059,0.046,-1.274,-0.166,0.049,0.241,0.5
2,intrcpt,0.096,0.121,0.791,-0.389,0.581,0.506,0.5
2,prop_female_gen,0.031,0.257,0.12,-0.867,0.929,0.913,0.5
3,cor_typeCOR,0.054,0.075,0.724,-0.121,0.23,0.491,0.5
3,cor_typeRPB,0.17,0.05,3.364,0.052,0.287,0.011,0.5
4,study_designcontinuous,0.123,0.05,2.476,0.005,0.242,0.043,0.5
4,study_designextreme_group,0.103,0.078,1.319,-0.075,0.28,0.221,0.5
5,incentivizationhypothetical,0.113,0.082,1.372,-0.074,0.3,0.205,0.5
5,incentivizationincentivized,0.109,0.048,2.268,-0.006,0.223,0.059,0.5
6,study_contextin-person,0.121,0.056,2.134,-0.002,0.243,0.053,0.5
6,study_contextonline,0.085,0.097,0.877,-0.227,0.396,0.447,0.5
1,intrcpt,0.442,0.234,1.887,-0.105,0.99,0.099,0.6
1,dec_diff,-0.058,0.046,-1.271,-0.166,0.049,0.242,0.6
2,intrcpt,0.096,0.121,0.793,-0.39,0.582,0.505,0.6
2,prop_female_gen,0.03,0.258,0.115,-0.87,0.929,0.917,0.6
3,cor_typeCOR,0.054,0.075,0.723,-0.121,0.23,0.491,0.6
3,cor_typeRPB,0.169,0.05,3.356,0.052,0.286,0.011,0.6
4,study_designcontinuous,0.123,0.05,2.477,0.005,0.242,0.043,0.6
4,study_designextreme_group,0.102,0.078,1.308,-0.076,0.28,0.225,0.6
5,incentivizationhypothetical,0.112,0.082,1.361,-0.075,0.3,0.208,0.6
5,incentivizationincentivized,0.109,0.048,2.269,-0.005,0.223,0.059,0.6
6,study_contextin-person,0.12,0.057,2.126,-0.003,0.243,0.054,0.6
6,study_contextonline,0.084,0.096,0.874,-0.226,0.394,0.448,0.6
1,intrcpt,0.442,0.234,1.884,-0.106,0.99,0.099,0.7
1,dec_diff,-0.058,0.046,-1.268,-0.166,0.049,0.243,0.7
2,intrcpt,0.096,0.121,0.795,-0.39,0.583,0.505,0.7
2,prop_female_gen,0.028,0.258,0.11,-0.873,0.93,0.921,0.7
3,cor_typeCOR,0.054,0.075,0.722,-0.121,0.23,0.492,0.7
3,cor_typeRPB,0.169,0.05,3.347,0.051,0.286,0.011,0.7
4,study_designcontinuous,0.123,0.05,2.477,0.005,0.242,0.043,0.7
4,study_designextreme_group,0.101,0.078,1.298,-0.077,0.28,0.229,0.7
5,incentivizationhypothetical,0.111,0.083,1.35,-0.076,0.299,0.211,0.7
5,incentivizationincentivized,0.109,0.048,2.27,-0.005,0.223,0.059,0.7
6,study_contextin-person,0.12,0.057,2.117,-0.003,0.243,0.055,0.7
6,study_contextonline,0.083,0.096,0.872,-0.225,0.392,0.449,0.7
1,intrcpt,0.441,0.234,1.881,-0.107,0.989,0.1,0.8
1,dec_diff,-0.058,0.046,-1.266,-0.166,0.049,0.244,0.8
2,intrcpt,0.097,0.121,0.797,-0.391,0.585,0.504,0.8
2,prop_female_gen,0.027,0.259,0.105,-0.876,0.93,0.924,0.8
3,cor_typeCOR,0.054,0.076,0.72,-0.121,0.23,0.493,0.8
3,cor_typeRPB,0.168,0.05,3.339,0.051,0.286,0.011,0.8
4,study_designcontinuous,0.123,0.05,2.478,0.005,0.242,0.043,0.8
4,study_designextreme_group,0.101,0.078,1.287,-0.078,0.279,0.232,0.8
5,incentivizationhypothetical,0.111,0.083,1.34,-0.078,0.299,0.215,0.8
5,incentivizationincentivized,0.109,0.048,2.271,-0.005,0.223,0.059,0.8
6,study_contextin-person,0.12,0.057,2.109,-0.004,0.243,0.056,0.8
6,study_contextonline,0.083,0.095,0.87,-0.225,0.39,0.45,0.8
1,intrcpt,0.44,0.235,1.877,-0.109,0.989,0.1,0.9
1,dec_diff,-0.058,0.046,-1.263,-0.166,0.05,0.245,0.9
2,intrcpt,0.097,0.122,0.799,-0.392,0.586,0.503,0.9
2,prop_female_gen,0.026,0.259,0.099,-0.879,0.93,0.928,0.9
3,cor_typeCOR,0.054,0.076,0.719,-0.122,0.23,0.494,0.9
3,cor_typeRPB,0.168,0.05,3.331,0.05,0.285,0.011,0.9
4,study_designcontinuous,0.123,0.05,2.479,0.005,0.242,0.043,0.9
4,study_designextreme_group,0.1,0.078,1.276,-0.079,0.279,0.236,0.9
5,incentivizationhypothetical,0.11,0.083,1.329,-0.079,0.299,0.218,0.9
5,incentivizationincentivized,0.109,0.048,2.271,-0.005,0.223,0.059,0.9
6,study_contextin-person,0.12,0.057,2.1,-0.004,0.243,0.057,0.9
6,study_contextonline,0.082,0.095,0.868,-0.224,0.389,0.451,0.9
